id,spam,sikap,emosi,catatan
DYSQkY4RX2K#566,0,kritik_peradilan,marah,koruptor kaya dibiarkan
DaNC_lKSytw#5836,0,kritik_pemerintah,marah,gara-gara jokowi
DaM_18rj5OO#10957,0,kritik_peradilan,marah,hukum kacau
DaM_18rj5OO#12274,0,kritik_peradilan,marah,hakim kek binatang
Dao9wWaDKzY#16,1,tak_jelas,netral,spam judi ZOYAMAX
DaM_18rj5OO#6812,0,tak_jelas,duka,
DaM_18rj5OO#15843,0,kritik_peradilan,marah,ancaman buru anjing dan tuannya
DaNC_lKSytw#318,0,kontra_nadiem,sinis,makan duit sendiri minta tolong
DaM_18rj5OO#7443,0,pro_nadiem,harapan,minta prabowo kawal kasus
DYR3czaxB9E#766,0,kontra_nadiem,netral,lebih percaya profesor tidak bela nadiem
DUdN5deExTD#520,0,pro_nadiem,harapan,semangat ambil alih gojek
DaM_18rj5OO#13710,0,kritik_peradilan,marah,yang mulia tak mulia
DaNC_lKSytw#2930,0,kontra_nadiem,sinis,dulu bangga sekarang minta tolong
DON94SnAD_0#89,0,kritik_peradilan,sinis,konoha yang korupsi berkeliaran
DaNC_lKSytw#3715,0,kritik_peradilan,marah,hakim tak adil kerak neraka
DaM_18rj5OO#14419,0,kritik_peradilan,marah,hukum bangsat
DaM_18rj5OO#10859,0,kritik_peradilan,sinis,hakim makan duit jokowi
DaM_18rj5OO#2270,0,kritik_pemerintah,netral,tanya pancasila diterapkan
DaR6fCMxfe-#768,0,netral_informasional,duka,tanya tulus korup apa gak
DaM_18rj5OO#1630,0,kritik_peradilan,sinis,pelesetan yang mulia
DON94SnAD_0#115,0,pro_nadiem,marah,program baik dianggap korupsi
DaR6fCMxfe-#2805,0,pro_nadiem,netral,ambil uang untuk rakyat bukan diri
DaM_18rj5OO#6128,0,pro_nadiem,sinis,kutip takut ya ejek jaksa
DaM_18rj5OO#2931,0,kritik_peradilan,marah,yang mulia panggil binatang
DX8xO2EDutM#223,0,kritik_peradilan,sinis,tanda tanya ke kejaksaan
DUdN5deExTD#283,0,pro_nadiem,netral,terbukti nadiem cuma tumbal
DYR3czaxB9E#718,0,pro_nadiem,harapan,duka+semangat
DaNC_lKSytw#8613,0,kritik_peradilan,marah,kontras timah bansos vs nadiem
DON94SnAD_0#15,0,kritik_peradilan,duka,ngeri salah kebijakan dipidana
DaNC_lKSytw#7957,0,pro_nadiem,harapan,serahkan allah
DUdN5deExTD#814,0,pro_nadiem,duka,nanggung dosa anak buah
DYR3czaxB9E#3377,0,kritik_peradilan,marah,18 tahun ada apa keadilan
DYR3czaxB9E#4388,0,pro_nadiem,marah,didzolimi negara bobrok
DaNC_lKSytw#1853,0,kritik_peradilan,sinis,yang benar ditindas
DYR3czaxB9E#4159,0,tak_jelas,duka,
DUdN5deExTD#616,0,kritik_pemerintah,sinis,korup masih bebas bersenang
DUdN5deExTD#1544,0,kontra_nadiem,sinis,vendor amsiong argumen skeptis
DaM_18rj5OO#8636,0,kritik_peradilan,marah,hakim wakil tuhan naudzubillah
DYR3czaxB9E#2026,0,pro_nadiem,harapan,bukan wiwi yang ciptakan lapangan kerja
DaM_18rj5OO#4316,0,kritik_peradilan,marah,tandai muka tuntut akhirat
DaM_18rj5OO#9379,0,kritik_peradilan,sinis,buru-buru kacau
DaM_18rj5OO#9325,0,tak_jelas,duka,emoji tutup mata
DaM_18rj5OO#7355,0,kritik_peradilan,duka,innalillahi keadilan
DaM_18rj5OO#6610,0,pro_nadiem,duka,tak sanggup lihat muka nadiem
DaNC_lKSytw#1363,0,kritik_peradilan,marah,ngeri hukum terang-terangan
DUdN5deExTD#1385,0,kritik_peradilan,sinis,ancur
DaNC_lKSytw#4059,0,kritik_pemerintah,sinis,tumbal mulyono
DaM_18rj5OO#1245,0,kritik_peradilan,sinis,keadilan hanya di akhir zaman
DaNC_lKSytw#5356,0,tak_jelas,duka,sedihnya
DaM_18rj5OO#6983,0,kritik_peradilan,marah,pertanyaan ke prabowo hakim tak hormati hak
DaNC_lKSytw#8920,0,kritik_peradilan,sinis,gaji hakim naik bikin bersalah tak bersalah
DaNC_lKSytw#6081,0,kritik_pemerintah,marah,presiden bengak
DaM_18rj5OO#5465,0,kritik_pemerintah,marah,negara sakit
DX8xO2EDutM#302,0,pro_nadiem,marah,dijebak dimana nurani
DaM_18rj5OO#2332,0,kritik_pemerintah,marah,prabowo bisa lihat ini
DaM_18rj5OO#10783,0,kritik_peradilan,marah,doa laknat hakim
DUdN5deExTD#110,0,tak_jelas,harapan,emoji hati
DYR3czaxB9E#3026,0,pro_nadiem,duka,dunia jahat semangat nadiem
DaNC_lKSytw#8271,0,pro_nadiem,duka,paaak duka verbal ke nadiem
DaM_18rj5OO#13380,0,kritik_peradilan,sinis,kelakuan gaji naik 300
DX8xO2EDutM#398,0,kritik_pemerintah,marah,seret jokowi fitnah
DaM_18rj5OO#11146,0,tak_jelas,netral,bah
DYmUwyLEbx9#664,0,tak_jelas,netral,komen dikit
DaNC_lKSytw#7686,0,pro_nadiem,duka,minta tolong tuhan orang jujur ajur
DaM_18rj5OO#4592,0,tak_jelas,duka,miris
DaM_18rj5OO#8057,0,kritik_peradilan,marah,pada ga takut tuhan
DX8xO2EDutM#394,0,kritik_peradilan,sinis,periksa aliran dana jaksa
DYR3czaxB9E#4098,0,pro_nadiem,harapan,ciptakan lapangan kerja semangat
DaM_18rj5OO#14807,0,kritik_peradilan,sinis,jadi hakim garis keras biar keluar lapangan
DaR6fCMxfe-#1294,0,kontra_nadiem,sinis,teriak korupsi malah bela koruptor
