id,klaster_dup,fase,likes,ukuran_klaster,teks_bersih
DYmUwyLEbx9#40,6100,f3_mei2026,5,1,"lsg saja, intinya di bayar berapa ?"
DYR3czaxB9E#446,2839,f3_mei2026,0,1,❤️❤️❤️Selamat dunia akhirat
DaR6fCMxfe-#41,28212,f4_jul2026,1,1,@hanhancuk paham belom😂?
DaM_18rj5OO#212,7018,f4_jul2026,0,1,"Percuma kita koar koar disosmed, ga akan merubah sesuatu."
DX8xO2EDutM#487,2439,f3_mei2026,0,1,Skrg gantian cek aliran dana ke Jaksa 🔥
DUdN5deExTD#1709,1999,f2_awal2026,0,1,"Maka nya jadi mentri jgn terima beres jadi kan di kibulin bawahan ,hrs nya cek ricek ke bawah gimana2 nyaaa,jadi kan ketempuhan buntut maung , kek sekarang mentri keuangan lgsg turun ke bawah"
DaM_18rj5OO#12582,17339,f4_jul2026,0,1,Hasil dari naik gaji 300c/o 😄😄👏
DYR3czaxB9E#491,2874,f3_mei2026,0,2,💔😭💔💔❤️
DTVFd_Rk-KJ#273,342,f2_awal2026,0,1,Dari JP kecil sampai gede semua aku dapet dariPULAu777. ❤️
DaR6fCMxfe-#3144,31086,f4_jul2026,1,1,Kan itu suruhan Jokowi.
DaM_18rj5OO#3917,10191,f4_jul2026,0,1,"Tarik sudah hakim seperti bangsat itu Ayo lah dimana dia sekarang, malu saya sebagai sarjana hukum melihat kelakuan hakim memalukan dan najis seperti itu!!!!"
DYR3czaxB9E#2910,4278,f3_mei2026,0,1,Ikutan nyesekk 😭😭😭... Sy percaya pak nadhim g bersalah
DaM_18rj5OO#11836,16725,f4_jul2026,0,4,🤔🤔
DaM_18rj5OO#15091,19423,f4_jul2026,0,1,@yusrilihzamhd @kemenkum hakim dan Jaksa emang kerjasama dari awal bahwa harus dihukum.. @prabowo di bawah loe. Hukum. Indonesia makin hancur.. Semoga para hakim pengecut ini dan keluarga nya semua kena karma seberatnya dan secepatnya oleh Tuhan. Aamiin
DON94SnAD_0#46,44,f1_sep2025,0,1,CAP CIP CUP BELALANG KUNCUP.
DaNC_lKSytw#781,20996,f4_jul2026,0,1,"Pak nadiem Allah with U,,, semanagat bpk yg kuat kami bersama bpk..."
