id,klaster_dup,fase,likes,ukuran_klaster,teks_bersih
DaM_18rj5OO#15794,20012,f4_jul2026,0,1,Hakim nya 😮. Makin hancur hukum egara ini.....💔
DaNC_lKSytw#2484,22293,f4_jul2026,0,1,Udah bagus-bagus ngurus gojek e e malah mau ikutan jadi Mentri.
DaM_18rj5OO#6342,12204,f4_jul2026,0,1,"tradisi negara ini kan emg begini, gausah kaget. adil lewat jalur viral aja masih 50:50"
DaNC_lKSytw#105,20408,f4_jul2026,0,1,SANPAH TAIK. BIANG KEROK YG MENDUKUNG JOWOWI YA KAN LO JUGA SAMPAI MENGORBANKAN DATA DAN JUAG UANG POTONGAN DRIVER OJEK.
DYR3czaxB9E#2416,3997,f3_mei2026,0,1,"Ya Allah, sedih sekali🥺🥺. Semoga ada jalan keadilan melalui doa doa baik untuk orang baik ❤️"
DaNC_lKSytw#1492,21545,f4_jul2026,0,1,WALLAHI kita tuntut bareng2 di akhirat pak !
DaM_18rj5OO#2599,9089,f4_jul2026,0,1,Isi pikiran hakimnya :
DaR6fCMxfe-#2233,30236,f4_jul2026,0,1,Ccckkckkk
DaM_18rj5OO#1470,8117,f4_jul2026,0,1,"iblis"" berbaju hitam menghancurkan keadilan"
DaR6fCMxfe-#2407,30399,f4_jul2026,0,1,"apa cerita hakim yg beda pendapat ?? , artinya bukti nya tidak kuat, semua yg anda sampaikan sudah di patahkan juga di pakta persidangan, yg iya hakim terlalu maksa"
DaNC_lKSytw#1448,21513,f4_jul2026,0,1,Ada Tuhan pak tetap semangat Tuhan ga tidur otw revolusi
DaM_18rj5OO#9910,15163,f4_jul2026,0,1,Emang anjing hakim anjing
DaNC_lKSytw#5683,24855,f4_jul2026,0,1,Setıap Yang berprestasi dı ıntımıdası kapan Indonesıa bısa maju .
DaM_18rj5OO#14679,19084,f4_jul2026,0,1,Kacau ini ko hakim seperti ini.
DaNC_lKSytw#6163,25227,f4_jul2026,0,1,Mana TEAM ADVOKAT ANGGOTA DPR.... BELA NADIEM.....
DUdN5deExTD#103,449,f2_awal2026,0,1,Segelintir orang ingin investasi di GOTO ketika chaos.. 😂😂
DUdN5deExTD#1558,1854,f2_awal2026,0,1,"Bapak ni gak ada pengalaman politik, jadilah dikerjain. Iming2 Mentri emang menggoda, tapi jebakannya gede"
DaM_18rj5OO#642,7384,f4_jul2026,0,1,"Selain jadi hts ada yang lebih sedih, jadi WNI + hts an @mintchaosz @anty_trim"
DaM_18rj5OO#8328,13863,f4_jul2026,0,1,Sumpah janji jabatan nya PALSU
DaM_18rj5OO#15013,19356,f4_jul2026,0,1,Masih bisakah berharap dgn hukum di negara ini ?
DaR6fCMxfe-#3031,30982,f4_jul2026,0,1,Walah walah ternyata SPT itu🙄
DaM_18rj5OO#7217,12945,f4_jul2026,0,1,"Ohh jadi ini tohh kenapa wajib ada oleh2 buat hakim, kalo ga di kasih oleh2 di cuekin gitu mainnyaa"
DaM_18rj5OO#15329,19621,f4_jul2026,0,1,"Indonesia kekurangan orang jujur,contohnya hakim yg dzalim"
DaNC_lKSytw#5483,24694,f4_jul2026,0,1,"Saya yakin satu saat dia bebas dari masalah ini, ngga bakal lg dia tinggal di Negara macam ini. Negara yang di dalamnya ada orang pintar malah di penjarakan, Orang kosong jadi wapres, orang dalam jadi komisaris, Negara macam apa ini YANG MULIA !!!!!"
DYR3czaxB9E#3254,4465,f3_mei2026,0,1,Hukum bs dibeli dan berpihak pd yg pny kepentingan
DaM_18rj5OO#5639,11617,f4_jul2026,0,1,"Periksa rekam jejak hakim nya, pasti ada sesuatu yg ditutupi nya"
DaM_18rj5OO#13983,18512,f4_jul2026,1,2,Jujur naskeleng
DaNC_lKSytw#6653,25625,f4_jul2026,0,1,Orang yang berpengaruh di indonesia dengan membuka lapangan pekerjaan aja di gini”.... Kontribusi pemerintah apa? Apa bisa bikin pengangguran jadi bekerja layaknya ojol?????
DaM_18rj5OO#4161,10395,f4_jul2026,0,1,"Sekelas sidang besar loh, masa kalah sama sidang himpunan"
DaM_18rj5OO#14316,18779,f4_jul2026,0,1,Gimana ini Pak @mohmahfudmd ?
DUdN5deExTD#394,737,f2_awal2026,0,1,Berita yang ngga akan ada di GNFI
DaM_18rj5OO#957,7666,f4_jul2026,0,1,Ya Allah emang dunia g adil ya pa
DaM_18rj5OO#12623,17375,f4_jul2026,0,1,dosa kita smua sneegera dii tanggungg smaa pejabat pejabat konyol
DaM_18rj5OO#7996,13582,f4_jul2026,0,1,Itulah bukti gaji naik 300%
DaM_18rj5OO#3932,10204,f4_jul2026,0,4,Sakitttt
