username,timestamp,likes,komentar
nita_ninsi,9/9/2025, 09.19.36,6,"Chromebook ini sangat berguna. Bahkan saya sangat menyesal tidak mendapatkan bantuan chromebook tersebut. Sekarang kami kesulitan melaksanakan ANBK karena tidak memiliki perangkat. Saya percaya pak Nadiem org baik😢"
lifeoffajarprabowo,8/9/2025, 22.25.18,0,"Mungkin gak sih klw menteri  atau kapolri arau panglima buat keputusan tanpa arahan presiden?"
lenamia08,8/9/2025, 21.41.15,1,"Konoha memang aneh. Benci"
feriandika.id,8/9/2025, 21.00.40,0,"Muka culun, harta bejibun, ternyata nyuri duit rakyat, klo beneran terbukti salah kencingin aja, klo beneran bersih gw doain jadi wapres"
waroenginyong_psi,8/9/2025, 18.57.10,0,"Terlepas dr kasusnya, penggunaan chromebook sbnrnya momentum u/ lepas dr ketergantungan produk2 microsoft (trmsuk mslh lisensi2) & niatnya bisa diawali dr sekolah2. Dlu prnah ada usaha beralih ke o/s linux tp alasannya byk yg tdk familiar (+ microsoft tdk tnggal diam). Stlh ada smartphone, tanpa sadar org belajar dgn sendirinya."
galericonels,8/9/2025, 17.51.47,0,"Ga ada bukti korupsi cuma membuat kebijakan saja dan itu pasti ada persetujuan atasan, siapa atasannya?"
priyonolip,8/9/2025, 16.09.42,0,"Level mentri adalah kebijakan, kalau masalah pengadaan ya tanggung jawab kabid pengadaan dan  levelnya dirjen"
taufikismail102,8/9/2025, 11.07.50,3,"Pertanyaan nya jika pak nadiem ini salah ambil kebijakan, bukan kah kebijakan mentri juga pasti dapat persetujuan dari presiden ? ? Bertanya dengan nada hati hati"
andry_tri_j,8/9/2025, 08.54.58,0,"Kalo saya ... bagaimana dia dulu merusak sistem pendidikan di Indonesia.. Paham"
moments.dee,8/9/2025, 08.38.27,8,"Nadiem bukan koruptor, tapi inovator. Dari Gojek hingga Merdeka Belajar, jasanya nyata bagi jutaan orang. Benarkah keadilan sudah ditegakkan? Atau hanya butuh tumbal populer?"
hayatiiabdul,8/9/2025, 07.56.09,1,"korupsi nya dmana klo semua skolah aja dpt laptop, dpt tv smartboard,"
ayah_omar.hanna,8/9/2025, 07.27.06,1,"Buka aja proses pengambilan keputusan penggunaan chromebook,  proses tayang chromebook di ecataloge dengan harga tentunya, semoga mas menteri mau buka2an, sindiran pak JK turun kebawah liat ke daerah bnyk fasilitas sekolah yg sudah rusak 🇲🇨🙏"
rsyafruddinabdul,8/9/2025, 05.37.13,1,"Jangan terlalu cepat menyimpulkan, pend hancur dibuat dia, menteri pend sekarang dipecatnya dahulu"
restuutamis,8/9/2025, 05.29.14,1,"Iya kan, bukan pengadaannya tapi krn salah kebijakan. Ngeri aku, beneran sekarang jadi dah mau botak pelajari aturan tkt nanti ada yang ngadu ngadi"
endhb411452,7/9/2025, 22.24.20,1,"Kalo bikin berita yg jelas. Ini bagian korupsinya malah gak dirinci. Jangan menimbulkan kesalah pahaman. Harusnya berita korupsi ya dirinci bagian korupsinya."
nurulhapid252gmail.c,7/9/2025, 21.21.20,0,"2021 saat pandemi pembelajaran daring  jauh sekali ke 2025"
helgaangelina,7/9/2025, 21.21.13,5,"Ga percaya @nadiem_makarim__ melakukan korupsi. Sepertinya hanya jadi tumbal politik untuk pengalihan isu. Semoga segera dibebaskan seperti Pak Tom Lembong"
lania_aprilanti24,7/9/2025, 18.48.34,0,"Alhamdulilah"
ninghanindya,7/9/2025, 18.29.37,0,"Alfatehah untuk bang nadim..semoga Allah melindungi.."
misdiwahyono,7/9/2025, 17.54.10,0,"udah pakai pendampingan dari kejaksaan masih kena, apalagi nggak ada pendampingan...😢"
tika_sabdo,7/9/2025, 17.44.10,0,"Ga ngerti... apakah sdh terbukti tdk terpakai? ...dan saya pikir banyak bgt projek2 yg akhirnya ga kepakai. Krn kadang mmg banyak kesulitan implementasi IT. Dan butuh waktu yg cukup lama. Kecuali pak Nadiem terbukti menerima keuntungan....mending yg jelas2 menerima keuntungan yg diurusin."
jaka_azwandi,7/9/2025, 17.19.31,1,"Laptop OS chromebook produk gagal.total malah dibeli...diketawain ama Windows dan Mac.Os 😂😂😂😂"
putra20250303,7/9/2025, 17.11.09,0,"Barange ada ga ? Jumlahnya sesuai tidak ? Terdistribusi tepat sasaran ga ? Atau sebatas merk saja yg dilanggar"
elysa_nealy,7/9/2025, 16.27.53,0,"Korban politik"
dikacontend,7/9/2025, 14.58.37,1,"Kerugian 1.9T nya dari mana? Itu lebih ke salah kebijakan/prosedural"
liafarlialia,7/9/2025, 14.09.48,6,"Duh pusing, minta koruptir ditangkepin, ribut korupsi meraja lela dimana mana, minta ruu perampasan aset buat koruptor di segerakan, sampe ada yang minta dihukum mati koruptor.. Tapi giliran ada yang ditangkep kasus korupsi pada ribut bilang tumbal.. Bisa nggak sih ikutin dulu aja prosesnya, kalaupun emang tumbal kan bisa aja malah jadi ngebongkar dalangnya.. Tunggu aja liat hasilnya, yang ditangkep itu juga pasti akan bela diri pake pengacara, ngajuin pra peradilan atau apakah gitu untuk membuktikan kalo dia nggak salah. Tapi kalo emang salah ya kita harus Terima juga.."
daviddeff_,7/9/2025, 14.06.19,0,"Tangkap begini cepat bangettt, nangkap Sylvester Matutina 5 tahun gak berhasil 😂😂😂😂😂"
me_lan_kolis,7/9/2025, 13.51.41,2,"Semoga selalu diberi kesehatan dan kesabaran pahlawan PPG piloting, berkat dirimu para guru sekarang mayoritas sudah PPG semua.👏👏🙏🙏"
tanah_surga_kopi_1100mdpl,7/9/2025, 13.50.41,2,"Bebaskan mas nadim. Yang tidak bersalah. Kami rakyat mendukungmu mas mentri."
erikasaprilia,7/9/2025, 13.37.39,0,"Duit dr gojek kurang pa? Ini saya tambahin"
arni_riandainy,7/9/2025, 12.24.06,11,"Kronologinya dr thn 2021 langsung ke 2025 ? 2021 -.2024 gada petunjuk apa2 ? Trus indikasi korupsinya dimana ? Apa dia jadi korban lagi ?"
nurafril18,7/9/2025, 11.03.11,5,"Tuhan Pasti menolong"
ikenurhaliza_,7/9/2025, 10.48.07,1,"Chromebooknya ga bagus menurut saya. Lemot, dan harus nyolok dulu ke listrik, wifinya juga suka eror. Barang banyak tapi ga bagus"
arifin_rizkie,7/9/2025, 10.36.03,1,"Org baik dan pinter jadi mengenaskan sejak masuk ke dalam gerombolan firaun solo, from hero to zero😂😂😂"
triapriyani333,7/9/2025, 10.14.50,24,"Chromebook nya sangat bermanfaat di sekeloah kami, yg sebelumnya tiap kali assesment nasional sekolah kami mengungsi dan meminjam laptop le sekolah lain semenjak ada chromebook kami bisa mengadakan assesment di sekolah. Selama pak Nadim menjdi menyeri banyak inovasi2 visioner seperti guru penggerak, kampus mengajar, guru2 upgrade lewat pelatihan2, dan kesempatan ppg bisa terbuka lebar utk guru2"
ludfi262,7/9/2025, 09.34.32,1,"Saya yakin beliau hanya di korbankan genk solo..."
susanwisata,7/9/2025, 09.02.07,4,"Pak Nadim jadi korban"
good_lifestylesss,7/9/2025, 07.35.43,2,"Hati2 pengalihan isu tuntutan rakyat ke DPR"
linayanti7,7/9/2025, 07.10.47,0,"Asane pis 1, sekian triliun be taen gesine di gojek. 🤔"
ummu_ra3jo,7/9/2025, 06.52.10,8,"Konoha belum siap maju , Pak. Semangat. Sekolah kami swasta juga pakai chrome book & bermanfaat sekali plus kurikukum merdeka  manjadikan anak fokus belajar sesuai bidang yah akan dipilih saat kuliah. Terimakasih Pak"
wiwin1.handayani,7/9/2025, 06.46.49,7,"tp diswkolqh anak saya bermanfaat kok.sekarang bs dibuat belajar coding tanpa siswa membawa laptop sendiri"
hadidwarsito,7/9/2025, 06.46.34,5,"Semoga Allah memberikan kekuatan dan ketabahan mas Nadiem....saya dari NTB berterima kasih atas kebijakan selama menjadi menteri....dan semoga di berikan ketabahan"
yookjelong,7/9/2025, 06.28.20,0,"di kantor klo salah sop ada yg disuruh mengundurkana diri ada yg tetap baik2 aja..tergsnstung lobi an...."
ettakeikozw23,7/9/2025, 06.11.10,13,"GUSTI MBOTEN SARE🙌🙌🙌🙌🙌🙌"
ettakeikozw23,7/9/2025, 06.10.55,0,"CAP CIP CUP BELALANG KUNCUP."
ihsan_budi_raharjo,7/9/2025, 05.42.10,0,"Maaf Bukannya membela Mas Mentri..Lha ini Bukti Korupsinya dimana Pak Jaksa yang Katanya Agung..Tapi Agungnya baru hilang ke pasar..😢😢  Justi saat itu guru dan semua pelajar dapat akun belajar.id itu malah dapat fasilitas yg g berbayar. Contoh skg canva itu kalau langgnan sendiri mahal..Lha itu dlu gratis.. Program itu sangat mendukung pembelajaran..   Kayake Kejagungnya kurang jagung jadi kurang bisa menjadi agung.."
devo_granger,7/9/2025, 05.33.30,5,"Tapi jujur... Kami d daerah 3T, yang ktnya trblakang ini terbantu dgn chroombook yang bapak kasih... Bahkan sangat terbantu... Korupsinya dmn??"
anisaraihana90,7/9/2025, 05.25.18,0,"🙄🙄🙄 semoga ada jalan terbaik..."
sa.pira222,7/9/2025, 03.37.34,0,"Pantesan dia berkantor di apartment, kan aneh menteri ga pernah ke kantor...  Ternyata dia nutupin korupsi 2000 milyar...  Ketika jabatan dipake cuma buat nyari uang korupsi bukan amanah buat bkin pinter anak2 Indonesia... sedih bgtt  Jgn dibelain dia memang secara sadar mrlakukan tindakan korupsi krn dr sebelum menjabat uda bkin grup wa utk proyek ini.  Kalo dia bilang dia dsuruh mulyonce, ya blg sm pak hakim bhw dia cma suruhan.."
isthu.swandana,6/9/2025, 23.33.25,0,"Adili mulyono"
yudha9981,6/9/2025, 23.00.49,0,"Maksudnya ini dia conflict of interest kah? main gandeng Google tanpa bidding? atau gmn ya? 🤔"
albert_latu,6/9/2025, 22.53.52,0,"Petanda pemerintah tidak pandang bulu, siapapun jika perbuatannya melawan hukum, harus diproses dan bertanggung jawab..."
aby.rahmaghassani,6/9/2025, 22.13.53,12,"Tom Lembong Part 2 👏 insya alloh segera bebas.."
bangmis,6/9/2025, 21.33.59,0,"Kenapa kronologinga tidak dari era mentri muhadjir (era jokowi JK) yg alhamdulillah menolak laptop chromebook jauh sebelum pandemi. Tim calon menteri berikutnya bisa tau sebelum calon menterinya jadi menteri, berkoordinasi dgn group WA, dst... denger podcast TKP Tempo lebih lengkap..."
diansyah.sy,6/9/2025, 21.14.16,0,"Korban politik yg biadap di negri konoha..jelas2 manfaat nya ada, korupsi tdk ap lgi mnerima uang keuntungan trsebut..pak nadiem ini tdk mgkin korup, integritas ny pasti tinggi..Latar blakang bliaw ini Bpk nya Ketua Komite KPK wktu dlu, Ibu nya bgian dri pembntukan organisasi anti korupsi di zaman dlu. 🙏"
