username,timestamp,likes,komentar
diankusumaningtyas,24/1/2026, 22.09.22,0,"Jadi yg dirugikan disini adalah ""pajak"" dalam tanda kutip. Karena pembelian hanya 1x seumur hidup artinya tdk ada tender2 lagi. Pajak barang import berkurang. Karena sistem mengunci juxxl, poxxxgxxxx, games dll: pajak negara lagi yg gak masuk. Jadi sistem bagus ini Chromebook akan menutup pintu korxxxx"
sayidino.aqli,10/1/2026, 19.48.24,2,"Jdi? Yg di chat grup WA itu siapa? Nadiem atau ""Nadiem""?"
bung.4ndi,10/1/2026, 19.27.09,74,"Berani gak @official.kpk tunjukkin ke masyarakat alur dari awal pengadaan sampe di beli pak nadiem. Pak nadiem jgn diem aja"
usus_buntuuuuu,10/1/2026, 23.18.31,11,"Indonesia sudah mulai petang, sebentar lagi gelap"
ary_nurya,10/1/2026, 22.00.24,2,"e-katalog operatornya manusia bukan ?"
akaizer25,10/1/2026, 19.14.47,276,"yg rugiin 300T ...dan 1000T gak ada beritanya😢"
anugrah_achmad_soleh,10/1/2026, 19.24.45,0,"bukan itu..dia bikin regulasi potongan ojol 30% itu aja..tolong sebarin ke media lain"
kuda_hitam.92,10/1/2026, 21.10.21,22,""
mryohaness,10/1/2026, 19.05.32,6,"Bukam ga berguna, yg menerima ga tau cara makenya sepertinya"
aldosonidara,10/1/2026, 20.22.46,21,"Sumpah kalo memang pengadaan barang yang gak guna dikantor bisa membuat kerugian negara, fixs semua kantor pemerintah melakukan hal tersebut. Tolongblah tangkapin semua. Kok para pemeriksa makin aneh jaman now😢😢😢"
djoeragananom9,11/1/2026, 10.23.39,1,"Dan akhirnya presiden turun tangan Nadiem diberikan amnesty 😂😂😂"
maulidun.insani,10/1/2026, 20.25.56,0,"ahok ngontrol oplosan minyak saja gak sanggup,"
eko_bagus_universe,10/1/2026, 21.15.16,9,"Tolong ngerti rek. Sing dimasalahno iku bukan kegunaane chormbook, tp mark up e yo. Mark uppppp"
jco.jxo,11/1/2026, 05.27.02,1,"Lah memang terbukti salah bahkan pengacaranya mengundurkan diri Hotman Paris pengacara hebat sj tahu bahwa nadiem terbukti korupsi 😂😂😂"
kenzo_gevarielramadhan,10/1/2026, 22.08.33,1,"Ahok kok ga berni kritik jokowi ya?"
