username,timestamp,likes,komentar
buharihafid,7/2/2026, 19.32.56,2254,"Guys, itu hanya satu Proyek nya pemerintah yaaa. Dan Proyek Pemerintah bukan cuman satu loh, Pemerintah Nasional hingga Daerah hal seperti itu diatas kemungkinan selalu ada walaupun angka nya beda"""
ardyadipta,9/2/2026, 08.30.34,8,"lah terus orang2 yg disebutin disitu diapain?"
haululazkiyaa,8/2/2026, 16.50.38,1,"E katalog tuh dari dulu bermasalah😂"
xdoneex,7/2/2026, 22.32.22,51,"buat kami para penjual laptop...hal yg sudah biasa"
kopipahitplease,11/2/2026, 13.13.55,2,"Semua hanya drama, yg paling tinggi siapa saat itu , ga ada pertanggung jawaban? Atau aman aman aja😂"
teukufaresi,11/2/2026, 23.06.49,2,"Jack mulyono ?"
dapottua_hutapea,8/2/2026, 07.04.56,34,"Bisa dipastikan setiap proyek di plat merah pasti prosesnya seperti ini👏👏👏"
amri_fajar,7/2/2026, 19.26.00,191,"Tetap tenang pak nadiem krn memang yakin ga salah"
fiqry.jm,8/2/2026, 11.28.16,4,"Sy pernah jadi Country Manager pengadaan di Multi Nasional. Tapi MENENTANG ARUS, cari teman makan siang aja susah😢"
dadofjedd,16/2/2026, 09.53.42,23,"Kebayang dong proyek MBG yg 1.5 trilyun/ hari"
rina00027,9/2/2026, 01.23.58,35,"Tp kan ga terbukti duitnya masuk ke nadiem, bebaskan nadiem kalo memang dia ga bersalah malah dia yg dibidik. Biar heboh gitu kan kasusnya kalo yg lain ga sengetop nadiem. Plus gw bukan buzzer nadiem ya prihatin aja sm orang pintar di negeri kita dijadikan tersangka atas tuntutan yg tak berdasar."
luthfiyusran,7/2/2026, 19.45.08,64,"Maaf pak ,saya dengar dr pak JK bapak jarang kantor. Makanya fellnya ga dpt, jd resiko main belakang 100%."
mc.jampistres,12/2/2026, 07.07.33,1,"saya paham, mas menteri orang jujur...🔥🔥"
kepp.10,9/2/2026, 12.22.48,8,"Apa sekelas mentri gatau harga Produk yg harus dibeli , apa langsung main tanda tangan Dan iya2 doang ."
attaladedy,7/2/2026, 21.14.47,86,"Biasanya begitu...bos nya biasanya ga tau...yg main justru anak buahnya..PR buat dinas pendidikan...sy rasa itu sdh berlangsung dari dulu...."
maliniannisa,7/2/2026, 20.53.16,5,"@kejaksaan.ri bro brooooo 😂😂😂 halu apa kalian???"
kurniawan_shinyo,8/2/2026, 00.41.53,3,"Dah paham kan..ha semuanya pemimpin ikut bermain dalam korupsi🔥🙌lebih sering anak buahnya..semua bisa diatur"
angkasahutan,8/2/2026, 14.48.46,253,"Semangat terus Pak Nadiem, Tuhan tidak pernah menutup mata untuk orang yang di dzolimi ❤️"
mayasfe,7/2/2026, 19.41.22,186,"Saya percaya pak nadiem tidak salah"
hanifu__,9/2/2026, 21.48.58,3,"lah terus kenapa yg ditangkep dia kocak"
cesynfam,11/2/2026, 13.55.15,6,"saya dukung nadiem, tapi dia sudah bukan menteri kali pak.. ga perlu dipanggil “mas mentri”"
hayfied,9/2/2026, 22.13.53,1,"Gara gara kebijakan era beliau. Pendidikan amburadul"
albahrikasim,7/2/2026, 20.04.42,149,"Ya negara ini pengurusnya 99,99% Maling yak?"
nanda_gazali,8/2/2026, 14.45.50,9,"Maap maap ya… Nadiem bukan orang kismin… orang seperti dia gak butuh uang receh… sungguh konoha.. 😂😂"
hulahulahoy,7/2/2026, 21.13.33,547,"Gaes klo bisa hindari berbisnis dgn pemerintahan dan BUMN apalg sebelum pelaksanaan udah minta atau matok jatah di awal.. ketauannya bakalan belakangan, 3 tahun kedepan bakalan di periksa.. udah banyak contohnya"
cerita.farahcq,16/2/2026, 05.16.06,4,"Orang² berpendidikan tinggi, belum tentu ilmunya berkah. Buktinya, orang² penting yg sudah disebut itu... dia pinter² itu, sarjana semua itu, tapi kepinterannya buat minteri orang. Semoga Allah berikan hidayah..😢"
sutanas19,7/2/2026, 20.34.08,40,"Ga mungkin mas menteri sepolos itu 😂"
rulll_99,11/2/2026, 12.40.08,1,"Bahasanya “ini ada rezeki??” kok bisa nyebut itu rezeki??"
syahuqi,12/2/2026, 15.00.06,0,"pns ni kacau kacau gilaa"
galuhmaulana1912,9/2/2026, 18.36.48,10,"Pasti muaranya ke solo"
good.gamer69,20/2/2026, 06.55.41,1,"Sengaja ditangkap, namanya dijual,  supaya fokus ke satu berita, yg lain tenggelam"
serval_indonesia,8/2/2026, 15.02.14,1,"iya udh biasa keles dr dulu juga gitu, klo atasannya jujur (susah di sogok) yg bawahannya gerilya 😂"
dr_agus,8/2/2026, 06.23.45,8,"hehehe... bukan rahasia lagi, pejabat pembuat komitmen biasanya dapat komisi disetiap proyek pemerintah 😂"
fajarap0,18/2/2026, 22.50.40,0,"Gini gak sih say ? 😥 @elindamasari"
zakiymn,8/2/2026, 10.57.26,1,"Korupsi di indonesia itu sudah mengakar, ada dimana-mana. Semua aja tutup mata dan telinga. Banyak struktural yg jg begini.  Kalau bukan masing2 dari diri kita sendiri yg sadar diri, siapa lagi"
asb_htbarat,7/2/2026, 19.46.57,0,"Semoga Kapok Terima tawaran di Pemerintahan.. 👍"
simpleoke,17/2/2026, 15.55.54,1,"Bebaskan mas Nadiem.."
carbonnelantoinede,9/2/2026, 22.24.11,2,"Nadiem orang bersih!"
jalanjalan.nky,8/2/2026, 19.00.30,3,"Mas Nadiem, insyaAllah kembali bebas dan Indonesia tetap butuh orang seperti Anda mas!"
fdefung,9/2/2026, 07.59.07,5,"Semangat pa Nadim, semoga kebenaran segera terkuak"
rzlarsyd,15/2/2026, 02.07.38,1,"Kamu telah terjebak oleh si Pinokio/Fir'aun indo😢"
d.priatna,14/2/2026, 17.30.52,0,"Karena kebijakan dari pak menteri, dan goalnya projek atas persetujuan menteri"
gaganooga,14/2/2026, 08.32.51,1,"Aku tau disini bang nadiem emang bnr2 baik orangnya sampe gw gak percaya, tp emang buat kambing hitam aja sama government 😭😭😭"
giinda,12/2/2026, 14.03.36,2,""
dlailahara,14/2/2026, 04.58.56,1,"#Koruptor jokowi luhut yang paling banyak kenapa tidak disebut"
fahrul5009,7/2/2026, 21.34.33,4,"Korupsi itu tdk selalu tentang menerima uang,, ada yg lebih besar lgi adalah aktor di balik layar mengatur, merencanakan adalah otak di balik semua yg akhirnya menyebabkan kerugian negara ,,, gitu mas mentri ga usah bingung"
daniel_suryajaya,9/2/2026, 09.47.28,1,"yg terima duit jadi saksi, yg ga terima duit jadi tersangka itu adalah logika hukumnya?"
mugiwow,9/2/2026, 17.28.06,0,"PNS yg pegang panitia pengadaan dimanapun patut dicurigai penerima gratifikasi krn praktik beginian sdh jadi semacam pembenaran yg terlihat wajar oleh oknum2 PNS🔥🔥"
rhusly27,8/2/2026, 07.41.26,53,"Korupsi itu mengakar di indonesia.. smuanya sudah terbiasa, jdi seolah itu penghasilan tambahan bukan ilegal, krna diperiksa pun prosesnya masih panjang.. hukumannya tdk membuat jera.. bs kembalikan dana, bs lanjut kerja lgi.."
gintaryans,10/2/2026, 11.37.00,3,"Bismillah, beri keadilan utk Pak Nadiem ya Allah"
joni.e606,12/2/2026, 04.24.01,1,"kasian nadiem jd kambing hitam,pelaku hrs di hukum mati !! bnr2 hrs di hukum mati ,gk ada ampun ,biar kapok semua pemakan duit rakyat dan negara,mana om wowo yg bnr2 niat mau berantas korupsi,bs jd atensi buat wowo tuk mulai tegas berlakukan hukuman mati !"
sasrisonda,8/2/2026, 06.55.22,8,"Daripada urusin gentengisasi mending urus orang2 ini dulu pak @prabowo kasihan nerima duit nggak, ngasih consent nggak, tapi ditahan. Indonesaaaaa come on!!"
teopiss,8/2/2026, 22.19.54,1,"Sumber nya ya dari atas 😂"
yockejose,8/2/2026, 13.25.47,2,"🔥"
muhammad_franali,11/2/2026, 10.41.15,1,"Logika aja lah, dia itu kan founder gojek, klo mau cari uang banyak mah jelas nolak jdi menteri, mending lanjut jdi founder gojek duit nya ngalir deres. Lah ini jdi menteri masa di dakwa klo dia korupsi😂 dia sekaya itu korupsi buat apa coba"
ase_uciha,8/2/2026, 08.06.21,15,"LUCU YG KORUP SIAPA YG DI TANGKAP SIAPA??"
lucasreem,9/2/2026, 10.23.15,3,"Terus ini pasti salah pak jokowi😂"
danang.eka.wp,7/2/2026, 23.11.17,20,"dlu nma nya ekatalog v5 dn skrg gnti katalog.inaproc 😂😂"
arfn19,10/2/2026, 23.41.50,2,"Ini jelas fitnah, tapi kenapa Pak Nadiem dijadikan tersangka?"
soon040318,7/2/2026, 19.37.15,9,"Katanya masih sanggup menggebu gebu ke provinsi, kabupaten buat blusukan wkwk"
tommypratomo,8/2/2026, 04.20.45,4,"Uang receh itu sih"
astutiwiwik11,8/2/2026, 16.29.31,1,"Semangatttt mas Menteri 🔥"
astutiwiwik11,8/2/2026, 16.27.51,1,"Ayoo buka sampai tuntas, di antara ketidakjelasan hukum di negeri kita semoga masih ada harapan cerah bagi masa depan"
nugrahayogiie2021,7/2/2026, 19.28.22,38,"Sekali rusak susah balik"
ewopriyo,7/2/2026, 20.08.21,0,"Trs kalo nggk bersalah, KPK bisa di tuntut nggk itu...😂cuma nnya.."
nobi.fdl,7/2/2026, 19.29.19,30,"Logika aja, pak nadiem atasan nya bawahannya yg main, tpi atasan nya kena batu nya, lah orang olso gimana? Bawahanya pada main semua, dia nya aman"
nurman_man281,8/2/2026, 09.13.20,2,"Akal2an aja inimah.. Semoga lekas bebas pak!"
eins_fazrin,9/2/2026, 12.17.12,2,"Joko wi gimana"
08nemesis80,10/2/2026, 00.38.59,0,""
prananto,7/2/2026, 19.36.21,4,"Ngibul.. sikit amat hahha"
patrickbobsq,7/2/2026, 21.56.14,5,"🔥"
mayc_galery,9/2/2026, 11.55.54,0,"Wkwkwkwk, emg begitu kerjanya pak. Sertifikasi guru cair wajib ngasih ke dinas terkait. BOP cair pun sama kudu ngasih juga, dan itu udah jadi budaya"
crashcore_04,9/2/2026, 00.04.16,0,"@makhruspriyo dibaca baik baik"
radityo_kurniawan,7/2/2026, 21.43.41,1,"MBG lebih ngeri lagi 😁"
aldrinebarindra,9/2/2026, 01.07.04,0,"@mohamad.alfurqon jelas"
danisasmoko,8/2/2026, 20.54.54,1,"nadiem tetep kudu bertanggung jawab sebagai atasan cuma hukuman nya bukan ini, yg di suap itu harus jadi tersangka . pak @prabowo  lanjutkan yg nerima uang harus jadi tersangka @divisihumaspolri  usut tuntas yg sudah jelas di persidangan harus jadi tersangka"
iluqu,9/2/2026, 01.39.58,1,"Betapa bgsat pejabat"" ini ,semoga di azab sakit di dunia dan jahanam di akhirat kelak"
hanjawani.22,9/2/2026, 00.45.17,1,"@dicky_dicks97"
thepostpone_,8/2/2026, 23.38.56,0,"Yang korupsi siapa yang dijadikan tersangka siapa 😂"
xencorii,7/2/2026, 22.02.29,12,"ga faham gw proyek buat pendidikan dimainin gini. ini org2 berpendidikan bukan sih😂😂😂😂"
jalleww,8/2/2026, 22.09.17,1,"Mentali miskin menjabat"
nurul.izzah91,7/2/2026, 23.39.39,5,"Belum turun ke Provinsi2, kabupaten2 .. banyak lahhh masih banyak😂"
wira.pdn,8/2/2026, 07.54.19,1,"🔥🔥🔥 bongkar"
agoengpewe,8/2/2026, 02.20.22,1,"Hampir semua oknum pejabat SPT itukah?"
alansyah1717,6/7/2026, 11.52.21,0,"Kapokkkkk, saya sbg siswa yg berjuang demi rangking dijaman dulu, gak terima kurikulum pendidikan jamanmu kau acak2, anak bodoh pinter tidak terlihat bedanya di jamanmu!"
0mashaallahtabarakallah0,4/7/2026, 21.00.50,0,"Modus korupsi chromebook oleh Nadiem, Nadiem membuat ""kajian pesanan"" yang tidak masuk akal dan membuat rapat rahasia dengan perwakilan rahasia tanpa ada notula rapat resmi dan rekaman resmi ""kesaksian dari sekretaris dan beberapa pegawai terdekatnya"", rapat itu bertujuan agar hanya google yang menang tender lalu harga chromebook+komponen tambahan nya nya di markup ""bukti harga chromebook + komponen tambahan = harga laptop I3 + komponen yambahan"", begitu google menang google balas jasa dengan beli saham  perusahaan PT AKAB yang Nadiem jadi salah satu pemilik nya, PT AKAB belum go public jadi gampang cuci uang nya Krn tidak diaudit, saham yang diberikan ke google lebih rendah daripada jumlah uang  yang diinvestasikan google ""terbukti dari akta notaris"", uang selisih nya digunakan Nadiem untuk beli  saham PT AKAB lebih banyak lagi sehingga Nadiem jadi pemegang saham tertinggi dan jadi komisaris utama, begitu PT AKAB go public Nadiem jual sahamnya sehingga cair jadi uang cash. Sempurna lah cuci uang korupsi chrome booknya.  Masalahnya masyarakat awam masih banyak yang belum paham, diluar negeri korupsi dengan cara money loundry seperti ini sudah banyak yang di tangkap karena terlalu gampang pembuktiannya karena pencatatan modal tercatat di notaris, dan jelas banget ada conflict of interest karena dia komisaris perusahaan"
annisayeliarifki,21/6/2026, 22.14.59,0,"Orang orang yang namanya disebut ga menjalani sidang?"
keccikun,13/6/2026, 07.28.01,0,"Anda akan kalah, selalu kalah, tetap kalah, dengan mafia, oknum, dan preman berdasi. Penjajahan lokal."
cetet_jedar,18/5/2026, 07.25.33,0,"Nama pria solo itu kok ga msk?"
orcacyn,17/5/2026, 03.54.10,0,"Itu mariana susy kaya nya level atlet deh @nadiemmakarim"
alven_official,16/5/2026, 10.37.35,0,"Intinya pak nadiem itu yg di perlukan tanda tangannya... itu lah pentingnya mencari asisten yang terpercaya... karena ketika tanda tangan kita bisa jadi kurang teliti lalu di manfaatkan semacam di jebak gitu"
astrid.sarah91,14/5/2026, 10.40.54,0,"org pelit pantas d hukum"
ambu_mariyah,14/5/2026, 04.55.39,0,"Orang belakang😢"
estiawanemil,14/5/2026, 01.30.48,0,"Yg anehnya saksi malah ng ditahan🥀"
glenn_backpacker,28/4/2026, 20.03.42,0,"“jadi pejabat tidak cukup hanya memiliki kejujuran, namun juga harus cerdas dan pintar”  fokuskan pembelaan bkn hanya pada aspek kerugian negara, gratifikasi, maupun korupsi, juga tidak hanya dengan cari simpati maupun empati  fokuskan pembuktian dan pembelaan atas dugaan pelanggaran pakta integritas dan persaingan sehat jasa usaha, khususnya pada tahap perencanaan dan pelaksanaan pengadaan barang/jasa, yang membangun opini auditor maupun APH seolah dikondisikan mengarah kepada spesifikasi dan brand/merk tertentu sejak awal tahap perencanaan dan pelaksanaan pengadaan barang/jasa  #chroomebook  #paktaintegritas  #jeratpasalkaret #pasal2  #pasal3  @nadiemmakarim  #nadiemmakarim"
nur_cahyo_l,10/3/2026, 13.12.39,0,"Mas mentri ditumbalkan oleh orang orang itu 😢😢😢"
eben.p.simanjuntak16,7/3/2026, 00.10.52,0,"Gua udah bilang... Negri ini tuh krisis integritas... Jadi program sebaik/sebagus apapun ujung²nya untuk di korupsi..."
harris__dee,4/3/2026, 03.03.59,0,"Ditipu anak buah?? Pelajaran baru buat menteri Pendidikan."
yoiicoy,2/3/2026, 17.06.21,0,"@sdtw_c"
jojo_soier,28/2/2026, 20.30.16,0,"Emang sengaja ditumbalkan sepertinya ...sehat2 terus pak nadim"
jelly.caty,28/2/2026, 16.38.26,0,"Masuk pemerintahan pada umumnya pada dasarnya bermental korup"
lumbantoruanjoshua859,28/2/2026, 12.05.05,0,"Segelintir orang ingin investasi di GOTO ketika chaos.. 😂😂"
jazzfle,28/2/2026, 10.42.33,0,"Disekitar org sukses, selalu ada org yg mengambil celah buat mencuri remah2 secara tidak halal."
mikir_sejenak,28/2/2026, 07.20.24,0,"Tidak sekelas kementerian atau tingkat sekolah ternyata sama saja"
gwen_va_yuswantoro,28/2/2026, 05.12.03,0,"Aq bingung, kalau pengadaan yg ikut tender kan pasti cari untung , kalau gak nyari untung ngapain ikut tender, tp knp perusahaan bs di dakwa merugikan negara?"
elalalalalae,28/2/2026, 03.57.51,0,"Lucu banget negeri ini"
devilya_pema_yangdon,27/2/2026, 17.06.19,0,"Oalah….yg pd korupsi anak buahnya malah dia yg ditangkap 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️"
oktaviyanti_mutiah5,27/2/2026, 13.25.29,0,"DPR ?"
debbyanadeb,27/2/2026, 12.18.50,0,"❤️❤️❤️"
imanudin_u,27/2/2026, 10.47.02,0,"Gila ya, misal atasnya bersih bawahannya maling semua,"
helena_herlina_seny,27/2/2026, 09.57.32,0,"Sukses Pa.. Nadim"
cunkywz,27/2/2026, 07.38.40,0,"lembaga pendidikan sebenarnya bnyk yg suka main2 dgn duit panas,mulai dari uang fee study tour,pembuatan buku year book ,sumbangan pembangunan sekolah ,uang lks,seragam ,mulai dr kecil sdh keenakan merambaglh ke proyek besar ,dr yg sekolah yg py label agama bergengsipun bnyk jd ya ngga heran 😂"
gigofgreed,27/2/2026, 07.18.17,0,"Ya itu tu busuknya pemerintah indonesia sampe bisa membuat penerima lpdp skeptis kalo balik indo, kolam butek tu di kuras 🤣"
trendough,27/2/2026, 02.10.34,0,"Kok kaget? Bukannya biasa ya pengadaan pemerintah mesti ada kek ginian"
kenziedan3110,26/2/2026, 22.59.33,0,"😮"
iqbal_kemal,26/2/2026, 22.37.08,0,"Kepala yg di penggal, ternyata anggota tubuh lain masih bisa bermain 😂😂,,coba deh audit  yg lain lain lainnnya ,,"
reza.maharaja,26/2/2026, 22.24.02,0,"Anak buahnya banyak yg menerima gratifikasi, ucap Nadiem Makarim. Artinya memang di Kementerian beliau ada masalah...itu aja sih..."
riduan.ansyori,26/2/2026, 22.05.34,0,"kini ada yg hebat MBG kanglungkong  lebih seru"
srihadicecilia,26/2/2026, 19.42.22,0,"Semoga mas Nadiem segera bebas.... Tuhan melindungi selalu"
artoymoro88,26/2/2026, 16.04.01,0,"Astagfirullah.....korup sudah membudaya benar di negara ini. Skrg ditambah proyek MBG yg korupnya terang benderang......"
jsscnvwdjj,26/2/2026, 07.48.28,0,"Mulyatsyah banyak bgt… luar biasa…"
donapwardani,26/2/2026, 06.26.55,0,"Taaah benerkan tebakanku, sekelas menteri itu TDK tahu menahu apalagi menentukan harga barang2 proyek, justru pejabat pembuat komitmenlah yg menentukan nilai , ini Sdh terjadi sejak jaman dahulu kala, dan sudah mengakar sampai sekarang. Susah untuk diberantas ketangkap 1 departemen masih ada departemen lain yg melakukan , hampir semua bidang departemen ada korupsi . Siapa yg TDK mengikuti korupsi berjamaah (orang2 yg bener2 jujur) ini yg akan jadi korban. Yg akan jadi tumbal ."
s.ismh,26/2/2026, 06.11.39,0,"Merindiiing"
a_rifai_95,26/2/2026, 04.49.53,0,"Tapi selama hukum korupsi masih seperti ini, tidak akan berkurang tingkat korupsi nya, malah bisa naik, dengan pertimbangan uang hasil korupsi, jikalau disita cuma brp persen , hukuman brp tahun, masih untung banyak woiiiiii,"
a_rifai_95,26/2/2026, 04.48.07,0,"Ngeriii bener negara ini, pemerintah terisi oleh orang-orang haus kekayaan, buka haus pengorbanan dan pelayanan kepada rakyat 😢"
gzexct_,26/2/2026, 03.34.02,0,"Receh banget itu 35 juta wkwkwkwk"
bernard_nainggolan,26/2/2026, 01.40.37,0,""
