username,timestamp,likes,komentar
atokhawari,14/5/2026, 07.48.21,16,"Mohon maaf netizen boleh minta penjelasan. Sebetulnya yang dirugikan dalam pengadaan chromebook siapa ya? Kan katanya malah lebih irit dan efisien"
buyungrmp,5/5/2026, 19.07.40,8,"Itu loh BGN banyak pengadaan gak jelas didiemin"
rizkykusnadi,14/5/2026, 19.21.54,1,"CEK ALIRAN DANA KE JAKSA DONGGGG HAYOOO BERANI GA..BERANINYA DIBELAKANG KATA ""HUKUM"" PADAHAL HUKUMNYA HUKUM RIMBA"
abuhasanone,5/5/2026, 20.57.11,117,""
sywlanshri_,5/5/2026, 15.40.16,256,"Tidak ada jaksa yang jujur , itu aja , pemeras😂"
wakil.tuhan,5/5/2026, 15.06.50,117,"Emang perlu menemukan utk menghukum??"
dwinney,8/5/2026, 02.47.27,79,"Jaksa gagal menemukan aliran hati nuraninya sendiru"
raflianggara31,14/5/2026, 13.20.50,1,"Pak @prabowo yakin ngga mau berbenah pak ? Tiap hari kita dipertontonkan drama hukum yang ngga masuk akal. Yang nampak tak ditindak, yang tak layak diganjar justru dikejar. 🙃"
yovitamumpuni,14/5/2026, 22.47.27,1,"Kompetitor ojol kiri kanan mmg terduga krn jaksa,  ajeg meksa Cen wagu tenan suuu🙌"
_diragani,14/5/2026, 09.49.03,2,"@teddy_hq mau dibungkam kah 18 th? Dia ada tau apa?? @jokowi @prabowo"
mongke_d.luffy,14/5/2026, 18.30.23,3,"MBG lebih parah lagi tetapi kenapa tak tersentuh KPK?"
arielrakhmadan,5/5/2026, 21.00.38,1,"Mybe W*nd*ws takut legacy nya hilang di budaya kita. Makannya………. Aduh hilang sinyal…"
bakteri.yakult16,19/5/2026, 01.03.39,1,"Ini tuh firasat gue agar pemerintah bisa beli saham Gojek Harga B.U (karna pak nadhim dibuat bangkrut sama tuduhan gamasuk akal) ujung²nya beliau presiden ingin mengabulkan janjinya kepada para driver ojol.. (ini opini pribadi ajasi)"
ammarbror,14/5/2026, 13.51.18,2,"jujur udah di level jiji liat tingkah negara konoha 🙏🏼"
phkusuma_,7/5/2026, 09.48.27,0,"Jaksa Gagal menemukan aliran dana Nadim, Negara gagal mendidik generasi bangsa, negara gagal mensejahterakan para guru, negara gagal dalam... Tapi negara berhasil menggelontorkan puluhan triliun untuk MBG"
pacenogemelanesia,15/5/2026, 13.59.29,3,"Jaksa menyidik, jaksa yg kluarin p21, jaksa jg yg menuntut, GAK ADA DUAL KONTROL, Reformasi UU Kejaksaan mereka ckup jd penuntut sj biar bs dual kontrol mengecek kelayakan berkas dr penyidik kpk dan Polri biar gk dipaksakan kasus2 kriminal lainnya. Salam waras 👏"
s.maryani885,14/5/2026, 15.31.31,1,"mending jadi pengusaha aja emang...ga expect sm vonisnya 😢"
digiorno__,14/5/2026, 14.43.46,1,"“guilty until proven innocent” is the best sentence to describe how rotten Indonesia’s law system is."
fikrialfi9,17/5/2026, 06.40.19,1,"Itu Bu Mentri nya yang paham hukum malah kabur jir ke ausie 😂 aduhai kesalahan pak Nadiem ni ngasi kepercayaan gede sih sama bawahan giliran bawahannya ngaco keseret kan 😂"
whydisuleman_,14/5/2026, 20.38.32,1,"IKN sja merugikan negara gak ad yg proses penanggung jwab nya😂"
