username,timestamp,likes,komentar
chatrryn.imbr,15/5/2026, 16.06.10,1,"Mirissss"
ekahamzah83,14/5/2026, 09.45.26,236,"Sabar pak Nadiem. Semoga Allah mudahkan urusan bapak. Aamiin"
arra_sse,14/5/2026, 08.46.08,240,"Melihat hukum dinegara sendiri seperti membunuh secara terang²n  orang² jujur  Ntah akan seperti apa negara ini selanjutnya  RIP NEGARA HUKUM DI indonesia 😢"
candragunawan1690,14/5/2026, 15.25.43,24,"TERUS TERANG, SAYA NGERI DGN HUKUM DI INDONESIA, PUTUSAN SEENAKNYA, BEGINILAH JADINYA JIKA APARAT HUKUM SDH TDK TAKUT LAGI DGN HUKUM KARMA."
ashwinriyan_,14/5/2026, 17.50.27,6,"@prabowo TUTUP MATA KAH????"
rendi_arisandi,15/5/2026, 11.09.43,1,"Saya yakin anda memang menggunakan jabatan untuk membuat perjanjian kerjasama dengan google partner perusahaan dan mitra pengadaan di kementerian pendidikan, itu adalah bentuk penyalahgunaan jabatan. Tapi semua berdasarkan putusan hakim walaupun jaksa ga logis.."
aryo_aditama567z,14/5/2026, 15.46.37,25,"🥀🥀🥀🥀 Indonesia bubar 2030 instruksi dari presiden"
koto.anton,14/5/2026, 13.27.56,31,"Salah nya kau ngapain dukung Jokowi 2019, kau diperalat dijanjikan jabatan Mentri, padahal kalo tetap ngurus gojek kau akan aman selama nya"
arina.queen23,16/5/2026, 03.49.58,2,"Jokowi maksa bgt banguj ikn smpe hrs banyal tumbal"
suhermantoagus,14/5/2026, 09.24.12,14,"Untuk nutup MBG"
adrianaadriana755,15/5/2026, 08.49.10,1,"makanya pak ora usah ndadak ngrubah kurikulum ternyata akan menjerat anda sendiri ,lebih baik mwnyempurnakan kurikulum yang ada dulu ,jangan lsng diganti dengan  menggunakan chromebook ,hasilnya dipendidikan khususnya di pedalaman apa ? tidak ada yg bisa dirasakan ."
firmanilyas679,14/5/2026, 10.10.07,79,"sekarang anda fahamkan hukum dinegeri ini"
nauli.mix,29/5/2026, 11.37.36,1,"Bacot lu. Dengan masuk dunia politik, sudah membuktikan kerakusanmu 🤮"
_dennisss7,15/5/2026, 10.03.50,2,""
fastconnect90,14/5/2026, 11.14.17,10,"Semua udah Alloh yang atur tenang aja"
grosirbehelbkt,14/5/2026, 15.04.10,3,"Nasdiem pintar maka.di.buat menderita biar Indonesia tdk maju2"
erni_saharii,15/5/2026, 09.05.52,1,"Penyesalan tiada akhir... jgn percaya jokowi ' wong ijazah aja di manipulasi ' termul nya pada happy di tipu jokowi ' adili jokowi 😂😂"
shamponewbick,14/5/2026, 12.44.15,19,"Krn salah menjalankan kebijaksanaan tuntutan jaksa keterlaluan banding pak nadiem😂😂"
agilbudiyanto91,14/5/2026, 13.20.09,7,"Pemuda kaya yg punya bisnis bagus dijebak di dalam politik akhirnya jadi korban 😢"
yusuffrhmn_,14/5/2026, 21.13.38,5,"@prabowo tolong pak tegakan keadilan seadil""nya pak"
branddallan,14/5/2026, 15.57.16,7,"Mari demo turunkan pemerintah"
eza_zold,15/5/2026, 02.05.04,1,"Jadi swasta aja pak mka nya😭"
majid_al_raqie,14/5/2026, 14.40.12,0,"Sulitkan yang mana yg pintar, karena prestasi gak penting, lulus sekolah katanya juga gak perlu ringking"
hm_h.ib25,14/5/2026, 21.40.22,1,"Karna apa? Karna orang jenius selalu disingkirkan, yg bermasalah merasa terancam ☠️"
setia_1424,14/5/2026, 16.02.11,1,"Ingat tom lembong"
dcelupchickencrispykeputih,14/5/2026, 10.59.48,4,"Mknya klo kerjasama sm p3merintah hrs hati², awalnya senang bs berdampingan dgn orang² hebat tp suatu saat akan di tumbalkan."
naniaji1,14/5/2026, 12.14.21,1,"YA  ALLAH.......MIRISSS  BGT.....PAK  NANDI  BYK  MEMBANTU  ORANG  KERJA..... Tp  ingat  Allah  gk  tidur..... Allah  membalas  orang2  jahat  pasti  dunia  akheratnya......"
sarwoko.eddy,14/5/2026, 08.23.57,1,"Dilihat dari ekspresi Nadiem... Seperti nya dijadikan Kambing hitam yang memang harus dikorbankan oleh Kelompok tertentu...."
kittiemeruuu,1/7/2026, 14.09.11,0,"miris yaallah indonesia, MIRIS BGTTT!!!!"
syafridabermawi,1/7/2026, 11.20.49,0,"Sabar Nadim, mudah- mudahan Allaah segera mmencabut nyawa orang - orang Zalim itu."
mlyt_ask,27/5/2026, 16.55.14,0,"Jadi ingat cerita Tuhan Yesus"
ji.bril2111,27/5/2026, 13.35.47,0,"Ini membuktikan hukum dnegeri  kita ini dzoolim...."
wahab_raharja,27/5/2026, 12.07.58,0,"Plis plis buat anak muda jangan ikut berkontribusi untuk negara yang sakit ini"
_jeanne.03,27/5/2026, 07.07.20,0,"makin ancur ni negara 😢"
angga32330,27/5/2026, 05.13.11,0,"negara tidak bait baik"
fiana.mel,26/5/2026, 20.36.07,0,"Ya semagat pak mereka dia ingin tau kekayan bapak sebenat. Ya gitu lah putar ya menjadi kan  orang kabing hitam. Mengelabui perbuatan mereka yg biasa korupp bspak di jadi kan kabing hit"
amelia149399,26/5/2026, 17.40.52,0,"Iiiiiiih dia nggak salah"
meietti,26/5/2026, 14.25.50,0,"Mens rea nya adalah pemufakatan atas google menguasai Indonesia jauh sebelum nadiem nedein menjabat bahkan sudah di sususn startegi pertemuan dan koordinasi nya ditangkap bukti valid Jaksa kami Indonesia.. Pemufakatan atas tehnologi yang tanpa filter samsekaki dibuka kran akses nya lebar lebarrrrr oleh kementrian pendidikan dengan dalih adanya kebutuhan chrome book .. Chrome book nya diputer-puter dana nya diputer puter. Intinya simpel nadiem dipercaya negara menjabat dipercaya negara menjadi mentri pendidik anaka anak bangsa kenyataan lebih ""berkolusi atas saham"" dibanding ""menjaga peradaban indnesia""  imbas atas google yang tumpah ruah tidak terkendali di guyur sebanyak-banyaknya nya ke anak anak bangsa saat pandemi..dan BOM itu meledak sekarang generasi bangsa dari SD SMP sma SMK mahasiswa kuliah bahkan Sekelas kedokteran spesialis ringan membully sampai jatuh korban Meninggal dimana mana.. Dosen dekan akademik guru sudah kehilangan esensi pendidik semua membeku dan fokus dunia belajar""mengajar. . Moral moral anak bangsa ditangan nadiem menjadikan peradaban Indonesia jatuh dan menempatkan anak indesia kondisi krisis moral. Pandemi adalah pintu masuk semua aplikasi google menguasai kualitas bangsa Indonesia ancur.. itulah nadiem.. Masih kau hitung matematika?? Nilai rupiah diputer puter di bahas di klaim tidak ada nilai uang segala macam?? Apa tersebut bisa mengembalikan generasi bangsa kembali sehat?? Kau KTP Indonesia ? Masih saja tidak bisa melihat mens rea Jaksa kami malu sama KTP ente bro.. Nadiem adalah produk gagal Indonesia yang kalian banggakan ? .. Gampang sih bertanya nya ..ayok ditest ya...kau mendukung IKN atau tidak? Simpel..silahkan jawab jujur dalam hati..jawaban anda itu jelass menunjukkan tingkat kebangsan kalian atas bangsa kalian sendiri Indonesia..zip...Presiden kami tidak akan membiarkan jabatan pangkat title kecerdasan spektakuler tapiiii real nya memenipulasi rakyat.. Semoga menginspirasi.. salam etti Mei."
2907nhk,26/5/2026, 09.46.46,0,"Manusia paling drama di abad ini"
mrtinfrans_vrz,25/5/2026, 18.11.39,1,"Sotry saya"
danil.arma,25/5/2026, 09.16.13,0,"Semangat kerja terus bapak 2 jaksa.. juga jaga kesehatan bapak jsksa.. semoga allah swt selalu nenjaga dan melindungi semua bapak2 jaksa"
nonis8194,24/5/2026, 11.47.25,0,"Penipu mobil ESEMKA mana ya??? Kok tidak di hukum mati..???!!!"
azqmmm_,22/5/2026, 22.09.30,0,"Sabar bung, suatu saat kita akan bongkar semua rahasia kegelapan itu. Saya akan lawan"
jen68itink0802,22/5/2026, 11.04.43,0,"Demi Kepastian HUKUM  KENYAKINAN dan KESIMPULAN masih perlu di tinjau dengan  PERATURAN PRESIDEN REPUBLIK INDONESIA NOMOR 123 TAHUN 2O2O TENTANG PETUNJUK TEI(NIS DANA ALOKASI KHUSUS FISIK TAHUN ANGGARAN 2021 ⤵️ PERATURAN MENTERI PENDIDIKAN DAN KEBUDAYAAN REPUBLIK INDONESIA NOMOR 5 TAHUN 2021 TENTANG PETUNJUK OPERASIONAL DANA ALOKASI KHUSUS FISIK REGULER BIDANG PENDIDIKAN TAHUN ANGGARAN 2021 ⬇️ PERATURAN PRESIDEN REPUBLIK INDONESIA NOMOR 16 TAHUN 2018 TENTANG PEDOMAN PENGADAAN BARANG/JASA PEMERINTAH Kesalahan dalam penafsiran dan Pemahaman tentang Peraturan dapat menimbulkan Kesimpulan yang SALAH, Berdasarkan hasil analisa dari ketiga peraturan tersebut @nadiemmakarim tidak dapat dipersalahkan dalam kasus Korupsi Pengadaan Chromebook, itu sebaiknya kembalikan Kasusnya kepada Ranah Pengadaan Baranga dan Jasa dan Pelakunya (KPA,PPK, PENYEDIA)karena merekalah yang menandatangani FAKTA INTEGRITAS dalam Proses Pengadaan."
rifhdytllh_154,22/5/2026, 09.55.11,0,"Ini yg merusak kurikulum pendidikan"
fmatt.777,21/5/2026, 07.58.58,0,"Banyak drama ikutin aja proses nya sama jurish tan kenapa kabur ?? Kalo emang gak bersalah jgn kabur donk"
bravo_buddy2018,20/5/2026, 08.59.55,0,"Nadiem itu mungkin gak bersalah dlm kasus laptop tapi ya hukum karma berjalan. Waktu Nadiem di Gojek, banyak driver gojek dan driver gocar dirugikan.  Sama seperti Jend Ahmad Yani, peristiwa jam gadang di Sumbar mengesekusi ratusan orang (katakanlah 100 orang) padahal yg terlibat hanya belasan (katakanlah 19 orang). Karmanya Jend Ahmad Yani paling sadis dihabisinya, dihabisi oleh pasukan bentukannya sendiri, dihabisi oleh prajurit tingkat awal, benar2 dipermalukan. Baik Nadiem dan Jend Ahmad Yani adalah orang baik, orang berguna, orang berjasa tapi alam semesta tidak akan tinggal diam melakukan karma untuk semua orang. Hormat saya secara pribadi dari lubuk hati saya yang paling mendalam untuk Nadiem dan Jend Ahmad Yani 🙏"
ab_anto,20/5/2026, 07.58.58,0,"Kpk menangkap pak nadiem karena beliau salah kalau ngga salah tdk mungkin kpk menangkap."
whyuda13,19/5/2026, 21.16.03,0,"jaksa pun sekolah bos . pencuri ngaku penuh penjara"
whyuda13,19/5/2026, 21.13.24,0,"bapak penghapal yg baik"
riche29_,19/5/2026, 11.11.40,0,"min"
gihonxml,19/5/2026, 10.51.51,0,"SIAPAAA JAKSA NYAA?!"
anehimm__,18/5/2026, 15.38.39,0,"KEADILANN MANAA?"
abiibbfr,18/5/2026, 06.47.17,0,"1. menghilangkan ujian Nasional 2. mengganti kurikulum 3. menghilangkan pelajaran PKN 4. pendaftaran sekolah Zonasi 5. mengurangi hari/jam belajar ke sekolah (extra) coba sebutkan apa yg dirubah oleh pak Nadiem saat jadi Mentri pendidikan? sama aja membodohkan anak² mu sendiri pak"
simanjuntakdarmi,17/5/2026, 23.07.20,0,"Tolong Bapak Presiden Bebaskan Nadiem dan Periksa Semua Yang Menjatuhkan Hukuman Kepada Nadiem!"
dezov.p,17/5/2026, 18.25.21,1,"eh ini negara apansihh?"
wajdihashim,17/5/2026, 13.15.54,0,"this is what iq 78 did, orang yg sudah terbukti berjaya bawa nama dan ekonomi indonesia yg kebarangkalian boleh bawa indonesia ke tempat lebih tinggi, pembaharuan yang di nanti tapi di penjara. GOOD JOB from Malaysia. Bodoh sombong, egois, usah ganggu pemimpin yg sedang senang walau rakyat susah, bantuan kami juga ditolak sewaktu banjir acheh, next time don't talk shit about Malaysia better talk shit abour your monkey leaders."
itsbucky__,17/5/2026, 12.23.51,0,"dah sampai malaysia berita ni, teruk betul kena si nadiem ni, apa punya teruk sistem kehakiman, kesian dia, memang hukuman tu untuk senyapkan terus"
itsme__sely,17/5/2026, 11.25.10,0,"APASI ORANG' TOLOL ITU! KASIAN ORANG BAIK KAYA PAK NADIEM!!!!!"
ahmad_bayhaki70,17/5/2026, 06.55.09,0,"Pasal 2 dan pasal 3 UU Tipikor itu terang benderang, jelas dan nyata si lakukan. Jadi untung si konoha yg isinya ber-IQ serta kera nih makhluk, kalau di tiongkok sudah dikirim ke akherat. Hakim harua berani menerapkan pasal 2 dan 3 UU Tipikor dengan menjatuhkan vonis 20 tahun penjara dan denda sebagaimana dalam tuntutan JPU tok tok tok."
syamsulraids,16/5/2026, 18.40.26,0,"Sudah saatnya rakyat kompak kita lawan para pejabat dan hukum yg tumpul kebawah kalo kita GK sadar saat ini Hancur masa depan anak2 kita"
sudinamatus,16/5/2026, 18.00.55,0,"Tetap semangat pak"
celia.oktavio,16/5/2026, 15.05.32,0,"Indonesia di 2028 kayanya makin miskin 🤣😂"
rina_sccnd,16/5/2026, 13.45.18,0,"@prabowo eh pak tolol tolong klarifikasi nya soal kasus in yah jgn diem mulu anjg kocak! Niat jadi presiden ngga sih kocak lu"
djogja1440,16/5/2026, 13.25.12,0,"T U N T U T  B A L I K JAKSA🔥🔥🔥"
djogja1440,16/5/2026, 13.25.11,0,"J A K S A  M A B O K 👎👎👎 #indonesiaGELAP"
djogja1440,16/5/2026, 13.25.09,0,"J A K S A  N G A W U R👎👎👎 #indonesiaGELAP"
djogja1440,16/5/2026, 13.25.08,0,"#indonesiaGELAP krn JAKSA NGAWUR  ✅️ PAK NADIEM  B U K A N KORUPTOR. Para CEO MBG itu yg jelas korup👈  ✅️Beliau majukan digitalisasi pendidikan dgn Rapor Pendidikan Sekolah 👍👍 ✅️Dia PINTAR &JUJUR pendiri GO JEK ❤ yg menciptakan 4 juta lapangan kerja, membantu menghidupkan UMKM tanpa memakai APBN ❤ ✅️Menjadi menteri HARTANYA JADI BERKURANG karena sibuk 😢😢 ✅️Kesalahan Nadiem adalah MAU JADI MENTERI REZIM JOKOWI dan tahu rahasia BUSUK  JKW & Opung akhirnya kena #KRIMINALISASI spt kasus PAK TOM  LEMBONG 👈 ✅️JKW tokoh terkorup dunia by #OCCRP #ijazahPALSU super culas licik kejam #KM50 dll  ✅️Semoga pak Nadiem sehat selalu. SALAM DARI PARA GURU. ✅️Untuk anak2  CERDAS #KaburSajaDulu sampai sukses daripada di #KRIMINALISASI ATASAN DZALIM dituntut penjara 27 TAHUN ..."
azeemal.24,16/5/2026, 11.37.43,0,""
_fiiilyy_44,16/5/2026, 09.42.55,0,"dukun harus turun tangan anj ah"
patiteti,16/5/2026, 09.21.19,0,"@P_T: Tdk bisa di pungkiri. Memang banyak kebijakan Nadiem yg menguntungkan guru. Tapi tindakan korupsi (mencuri uang negara/uang rakyat) haram hukumnya. Hal ini lah yg membuat Indonesia susah utk maju. Boleh suport tp jgn gelap mata.  Koruptor2 di Indonesia itu ketika sudah di tangkap makan akan menangis, berubah menjadi religius, seolah olah dia menjadi korban kebijakan.  Padahal dia lah penjahat sesungguhnya"
mahfud6881,16/5/2026, 05.50.25,0,"Mungkin ini nanti yg sdh dipredikasi akan ada demo besar""an lagi, karena sdh nggk ada keadilan lagi, org baik dan jujur selalu di jatuhkan, sedangkan kedzaliman selalu dpat dukungan"
situmeangfaber2423,16/5/2026, 05.49.47,0,"Karena jaksa dan hakimn😂😂😂😂ya bukan jiwa manusia.yg menjalankan keadilan  seolah2balas denfam.😢😢😢😢😢😢😢"
lilistea401,16/5/2026, 04.06.57,0,"astagforullah ...Allah tidak akan diam melihat umatnya di zolimi , pak menteri yg baik 🙌"
kontruksi_dan_bubut_rubber_rol,16/5/2026, 03.46.44,0,"NADIEM KORBAN PERAMPOK AN, DNG CARA DIPIDAKANAN OLEH GANK SOLO DAN OLIGARKI BRENGSEK"
santosodjuanto,15/5/2026, 23.49.25,0,"No viral no justice"
afrzl_4u,15/5/2026, 22.48.52,0,"lihat sg ku😢"
wasfallen_,15/5/2026, 22.42.58,0,"""saya sudah tidak tahu lagi apa harapan bagi anak² muda di negara ini"" that's hard."
msihabn,15/5/2026, 22.42.39,0,"Saran buat anaku : Jgn pernah masuk pemerintah"
49forloveee_,15/5/2026, 22.42.31,0,"rip sila ke 5"
