username,timestamp,likes,komentar
viral.yuh,26/5/2026, 06.58.04,25,"Mens rea dalam delik korupsi (khususnya Pasal 2 atau Pasal 3 UU Tipikor) menuntut adanya kesengajaan sebagai maksud (dolus directus) untuk menguntungkan diri sendiri, orang lain, atau korporasi yang merugikan keuangan negara. Membuat sebuah kebijakan (beleid) atau peraturan menteri (Permendikbud) yang ternyata dalam pelaksanaannya disalahgunakan oleh oknum di bawahnya, tidak bisa langsung dikategorikan sebagai niat jahat menteri, melainkan bisa jadi merupakan kegagalan pengawasan administrasi semata (administrative malpractice), bukan tindak pidana (criminal act)."
sahrin17,21/5/2026, 23.41.45,5,"Kalau kayak gitu, siapa yg ngusulkan TV layar besar digital, yang nyatanya juga ke pelosok daerah terpencil pun ujung ujungnya tidak bisa di Gunakan."
johnytan.johnytan,22/5/2026, 03.43.46,89,"Bs jadi semua presiden juga bersalah kalau mnrt opini ini"
joedhisss,21/5/2026, 23.45.10,198,"Narasi dia harvard ga perlu dibawa2 atau ditekankan om. Saya yg lama jadi auditor aja ketawa liat modelan dakwaan jaksa begini. Berkas di split2 untuk ngunci nadiem aja dah jelas kok. Ibam yg cuma konsultan dan ga menga jurkan chromebook pun di vonis salah. Dr situ sudah keliatan arahnya, yg dibidik Nadiem."
andy.krisna9915,22/5/2026, 05.17.49,7,"Narasi Cocoklogi... Bila opinimu  daerah di paksakan ikut pusat.. maka kedepan akan makin kacau sistem pemerintahan jika itu di jadikan landasan hukum..Krn pemahaman sepengal penggal hanya utk kepentingan politik.. 😂😂😂😂😂"
joenlex,22/5/2026, 05.18.47,51,"Hukum di negara ini sangat cerdas dan teliti bagi oknum non-partai. Coba bayangkan kalau tingkat ketelitian hukum yang sama diberlakukan ke semua pejabat?? Kita akan jadi negara kaya. Dolar yang bakal melemah."
yande_wraspana,28/5/2026, 07.35.57,1,"Orang pintar Pak @prabowo . Tapi kerjasamanya kurang rapi di program MBG & Koperasi Desa Merah Putih.🤭🤣"
bangk3y,22/5/2026, 00.33.28,206,"intinya karena hak daerah dipotong gak bisa korupsi ya 😂😂, terus tuduh orng korupsi"
elen_yap,22/5/2026, 03.38.39,78,"Menggiring opini ? Ini jg salah satu persekongkolqn jahat. Ingatvitu"
yande_wraspana,28/5/2026, 07.41.40,2,"Berdasarkan ulasan ini, Pak Nadiem ngak terbukti melakukan tindakan korupsi. Tapi hanya kesalahan sistem yang disengaja atau ngak disengaja. Seandainya terjadi kesalahan sistem, Bapak Presiden seharusnya bisa mengarahkan sebagai atasan Menteri. Jadi, kesimpulannya tidak ada tindakan korupsi tetapi lebih kelalaian sistem @kejaksaan.ri . Hakim gajinya sudah naik 300% harus membela keadilan & kebenaran hukum.🙏💔🔥🇮🇩"
yande_wraspana,28/5/2026, 07.25.01,1,"Celah hukum untuk bebas yaitu adanya 2 laporan audit yang berbeda. Yang satu menyatakan anggarannya ngak ada masalah. Yang lagi satu bisa diduga dimanipulasi sehingga ada perbedaan harga yang menyimpang.🙏💔🔥🇮🇩"
gmaaydya,28/5/2026, 23.00.47,1,"Kalau argumennya seperti ini, prabowo juga seharusnya ditangkap atas pelanggaran hukum yang dilakukan oleh mayor tedy."
ruber937,23/5/2026, 10.53.35,102,"Loh kita gk masalah klo  nadiem di nyatakan bersalah... masyarakat juga gk akan membela orang yang salah.. Asal jaksa bisa ""MEMBUKTIKAN"" Tuduhannya masalahnya dari awal persidangan tuduhan jaksa itu berdasarkan asumsi bukan berdasarkan bukti yang Kuat... Kan semua harus berdasarkan bukti yang kuat bukan asumsi di paksa jadi bukti... Orang awam aja ngerti ada yang salah sama kejaksaan..."
ariesaptahernawan,22/5/2026, 04.13.03,6,"Nah Permendikbud tersebut skrg masih berlaku ga? Kalo bertentangan dg Perpres harusnya dicabut"
