username,timestamp,likes,komentar
imran_susantio,3/7/2026, 03.41.09,0,"Siapa yang jujur jalannya akan menyaksikan keselamatan yang dari Allah."
gembitshirazi,30/6/2026, 20.46.01,3,"Minta tolong ke Allah SWT"
mrs.opirahmita,1/7/2026, 11.28.54,12,"Boss nya Pak Nadiem juga  di adili ya.. Rabb tolong lah Pak Nadiem 🤲🤲🤲"
nursripuji,30/6/2026, 21.58.12,337,"Mari buat petisi tuk keadilan bagi Pak Nadiem."
idat_ilahi,1/7/2026, 05.37.05,9,"Kejujuran dan niat baik, lawannya berjuta juta ketidakadilan💔🥀 Jangan berkecil hati dan tetap kuat🔥 “ saya akan lawan “"
lovely_halimah,1/7/2026, 07.58.05,25,"pak, Allah gak tidur. Bs jadi ini yg terbaik untuk bapak, inget kisah nabi Yusuf. bagaimana dia di fitnah, dipenjara, namun pada akhirnya kebenaran yg tetap menang. semangat pak @nadiemmakarim dan bu @frankamakarim, percayalah. Allah selalu ada bersama orang benar, saat ini ikhlas dulu sambil usaha cara lain. Insya Allah, akan ada saatnya kebenaran pasti menang. semangat buat pak Nadiem, doa terbaik ku untuk anak negri... 🤲"
indaahh_kurniaa,2/7/2026, 00.24.11,2,"gak ngerti lagi ya allah pak😭🥀💔"
pebi_ramadhan,30/6/2026, 19.21.17,700,"Semoga allah menjagaMu pak 🤲🏻😭😭😭😭"
jinokartono05,3/7/2026, 02.38.57,8,"Ini yang bela nadiem udah baca beritanya kenapa dia bisa dituntut ga? Meskipun dia akui enggak ada aliran dana masuk ke kantongnya. Tapi uang yang disebut Jaksa itu dari Google masuk ke perusahaan dia ya Gojek itu."
paltiwest,30/6/2026, 17.03.22,355,"Hakimnya pada pengecut.. Cuma satu yang berani 😢"
hajar_pamuji,30/6/2026, 16.49.15,3017,"Sebenarnya musuh besar pak Nadiem siapa sih?"
ir.randu,30/6/2026, 18.20.11,7582,"Padahal tidak ada aliran dana masuk ke beliau,  ngeri bgt ya politik🫣  Mark Up harga sampai merugikan negara 5,26 trilyun kira-kira siapa yah yg diuntungkan?"
jadi.pelajaran,1/7/2026, 05.32.10,87,"Nadiem tuh MUNGKIN ya sbnrnya pgn ngajak kita ayo dong lakukan gerakan nyata untuk kasus ini karena negara ini udah ga bener bgt. Klo bukan gerakan nyata cuma posting sana sini negara ini udah kebal guys."
kajianustadzhandybonnyy,30/6/2026, 18.02.45,258,"Udah gak ketolong ini negeri"
indriati_indahtj,10/7/2026, 21.04.00,1,"Doa kami moga pak Nadim selalu dlm lindungan Tuhqn...pasti ga salah pak Nadim"
hidayaht332,30/6/2026, 20.02.58,3,"Tapi emang di jaman bapak guru stress laporan trus minta doa kepada guru Indonesia"
indriati_indahtj,10/7/2026, 21.05.46,1,"Tuhan sedang mengetes para hakim...siapq yg jujur sebenarnya...oramg baik pasti di sekelilingi oleh Tuhan dan malaikat"
suhari_af78,1/7/2026, 05.24.04,3,"Ya kepada tuhan mas, masa orang beriman kok bingung mau minta tolong kepada siapa?"
mierzamomon,1/7/2026, 13.49.48,1,"sing Sareh pak nadiem"
bambangharyosupplychain,1/7/2026, 12.51.45,1,"Pertanyaannya siapa yg dendam.kesumat sama.Nadiem dan.masih bisa mengatur pengadilan ala MK...ingat ini Konoha.."
fitrie_chandra,30/6/2026, 21.01.40,2,"Sekelas Nadiem aja diginiin..gimana rakyat kecil..😢"
apriantoaji58,2/7/2026, 07.51.22,1,"Teror rumah hakim2nya🔥"
sitinjakjosua,30/6/2026, 18.17.47,2,"Menteri aja begini apalagi rakyat seperti kami ini😢"
itsajenggutami,30/6/2026, 20.23.32,821,"Pak Nadim. Don’t give up pak. Keadilan akan selalu menemukan jalan 💪🏼"
lanayaw_,4/7/2026, 17.23.01,2,"Mantap, tangkap anies sekalian😂😂😂"
sheilapurnama,30/6/2026, 20.39.14,32,"💔💔💔💔💔"
setyobudi843,2/7/2026, 16.37.14,2,"Klo nga percaya dengan sistem hukum di Indonesia trus mau percaya sama sistem mana??? Hakim itu Independen dan tidak mudah di sogok... Jadi keputusan hakim murni berdasarkan alat bukti, klo setiap pelaku koruptor harus wajib ada aliran dana di koruptor betapa bodohnya dia???? Justruh uang mengalir bukan di rekening tapi bisa melalui aset lain.. Jadi mari hormati lembaga yg ada di Indonesia, klo nga mau percaya ya silahkan monggo klo mau pindah status WNI ke WNA sangat sangat boleh dari pada bikin brisik dan gaduh di rumah kita sendiri yaitu Indonesia.."
ndha_anndhorra,4/7/2026, 07.29.00,1,"Yg komen dukung pak Nadiem ini, dia ikut persidangan, ikutin kasus luar dalam, JD seolah tau banget gituhhh😂 langsung pro. Jgn jauh2 dah, liat anak bangsa sekarang, miris bangetttt buuuu😂 hasil didikan pak Nadiem. Baiknya dipuji, tp jangan tutup mata juga sama hasil buruknya😂 inilah KNPA mafia atau koruptor gabisa dihilangkan di negara ini 😂 giliran yg alirin dana ke perusahaan pribadi ketika dihukum malah hujat hakim dan pemerintah😂 pantes koruptor gabisa abis😂 mainin emosional aja dah dapet pembelaan tanpa analisa dulu kasusnya sampe dalem😂"
