username,timestamp,likes,komentar
egisantoso,9/7/2026, 07.40.07,0,"Mmg skrng anak sd pake laptop windows?"
ahmdtaufiq,4/7/2026, 13.25.01,1,"Saya baru paham"
tengkuyusufrahmat,2/7/2026, 15.41.54,220,"Maaf bang, apa yang anda katakan adalah meragukan, di sebuah persidangan kan apabila suatu bukti masih meragukan wajib untuk bebas, Anda sendiri kan yang mengatakan super super rumit dan susah untuk membuktikan, ya itu jawabannya, ini Masih meragukan secara bukti dan wajib bebas. Daripada menghukum orang yang tidak bersalah."
ikutanig,2/7/2026, 18.24.59,0,"https://www.instagram.com/reel/DaPvyclBpBx/?igsh=MWkzNWljZnhzampjbg=="
ayu_radhe,2/7/2026, 16.05.02,1,"Nahhhh sudah ku duga!!"
abiedwiputra,8/7/2026, 16.58.45,1,"Mba Nana @nanamirdad_  belajar dulu yuk biar nggak keliatan bgt 'nggak paham' nya wkwkw atau mau ikut donasi buat Nadim?🤭"
he_tep,7/7/2026, 22.53.53,2,"Theres no other standard for developing countries other than cdm chromebooks bro, linux isn't an industry standard for mass deployment on laptops for students bro. Windows cant run properly on chromebooks due to performance issues. What other option is there bro🙏. Nadiem did nothing wrong. There literally exists no other option feasible for the timeline and budget, do your research please."
widyaanitaar,8/7/2026, 09.30.55,1,"Pintar dia, klo gak pintar gak jadi ceo, halus banget mainnya"
lampion_nkri,2/7/2026, 14.20.06,327,"Pendukung Koruptor SAKIT"
mcdhito,8/7/2026, 08.09.30,0,"https://www.instagram.com/p/DaUNwPWk5Dn/?igsh=em9xaWFtcnpyc3Fi"
alan.awk,4/7/2026, 23.52.48,0,"Yg bela mana nutut mikir gini 🤣"
arraka.official,3/7/2026, 20.25.51,17,"inget gk sih yg ngehilangin UN siapa?"
gyjaaaaabbm,3/7/2026, 09.29.59,43,"oke yg gue ga paham: 1) pemilihan hanya dari 1 OS, chromebook. Karena pilihannya cuma 2, Windows atau Chromebook, membiaskan dgn hanya memilih 1 merk untuk pertimbangan tertentu, bukannya masih wajar? Milih 1 dari ya 2 pilihan. Pilihannya apa lagi 2) mengapa uang investasi dari Google yg masuk ke PT AKAB dianggap korupsi? Bukankah satu, itu urusan bisnis. Dan dua, itu uang luar (bukan uang negara). PT AKAB kan cuma tempat dmn gojek memiliki saham disana 3) jika saham PT AKAB meroket disana, yg dmn itu tempat gojek menaruh saham. Keuntungan yg didapat kan berarti murni urusan mereka. Kenapa jadi masalah? Gojek beli saham PT AKAB pake duit rakyat emangnya?  4) kalau diibaratkan. Gue beli sekian lot saham di PT A. Lalu ada pihak lain juga berinvestasi pada PT A yg membuat nilai sahamnya meroket = gue juga untung. Trus gue merugikan siapa? Duit duit gue 5) pengadaan laptop pake duit negara, dengan aliran dana masuk dari Google ke PT AKAB yg membuat saham yg dimiliki gojek kan 2 kejadian yg berbeda. Bisa aja Nadiem bikin proyek pengadaan laptop, disaat bersamaan gojek megang saham BCA (misal), trus BCA sahamnya lagi naik, untung untung juga 6) tapi gue bisa salah memahami situasi. tolong jelaskan saja dengan sopan"
dndy.shndy,4/7/2026, 21.51.23,14,"High level corruption. Tapi malah banyak yg dukung ampe pengen donasi segala pula🤣"
aryo.dsgn,2/7/2026, 18.17.24,227,"Hehe narasi kok berdasarkan opini. Terkait Audit BPKP: Dokumen tersebut menyatakan bahwa hasil audit BPKP tahun 2020 dan 2021-2022 menunjukkan tidak ada mark-up harga dalam proses pemilihan dan pengadaan Chrome OS di Kemendikbudristek. Tuduhan mengenai adanya kerugian negara sebesar Rp1,3 triliun atau Rp2,1 triliun dibantah dalam dokumen tersebut, yang justru mengklaim bahwa peralihan ke Chrome OS menghemat APBN setidaknya Rp1,2 triliun dibandingkan jika menggunakan lisensi Windows."
profesorbahlul,2/7/2026, 20.43.06,72,"Hakimnya langsung kabur setelah ngasih putusan itu kenapa ya? serius nanya"
bdvnp,7/7/2026, 10.08.57,0,"1. Sebelum JD menteri, SDH ada grup wa 'mas menteri cmiiw' bahas proyek dg org2 pribadi.... 2. Who & where Jurist Tan"
kartinaeva,3/7/2026, 09.36.21,0,"Nih yg kalian bela²in @gojekindonesia"
moh.imamabror,6/7/2026, 04.05.53,3,"bro merasa lebih hebat dari hotman Paris, para praktisi hukum, dan para aktivis hhhhhh, klo punya HP minimal dipakek rest, kesalahan berfikir dalam video : tidak ada kerugian apapun kepada negara, tidak ada mens rea, goggle berinvestasi ke saham goto sebelum dia beli chromebook, hakim menolak kesaksian dari Google, harga chromebook yg dibeli nadiem relatif lebih murah yg membuat negara untung 1,5 t, yg terahir nadiem itu disuruh ama jokowi buat beli chrome book tp yg disalahin malah nadiem, cobak klo balas pakek argumen👍"
andhidn,7/7/2026, 01.21.10,1,"Penjelasan ini terlihat benar, sayang sekali bicaranya tidak di pengadilan, malah di socmed😂😂😂😂"
sandygulkoto,3/7/2026, 14.16.06,6,"TERUNTUK KELUARGA DAN SODARA KU YANG MASIH BELA SI KORUPTOR INI SADARLAH KELENN😂😂😂😂😂😂😂"
gungrananda,2/7/2026, 16.33.40,72,"1 triliun ruginya ? Jiahh mbg sehari lewat tuh 😁"
danuahmad2009,2/7/2026, 14.13.52,8,"HARGA SUDAH DIAUDIT 2X 2020&2022 DINYATAKAN WAJAR.  TERUS ADA INVEST GOOGLE MASUK KE PT AKAB.  TRUS MUNCULAH TUNTUTAN NADIM KORUPSI ......LAH NEGARA RUGINYA DIMANA ??????? KECUALI HASIL AUDIT MENYATAKAN NADIM MARKUP HARGA , SEHINGGA SELISIH HARGA ITULAH YANG DIGUNAKAN GOOGLE UNTUK INVEST DI PT AKAB. TAPI KENYATAANNYA TIDAK SEPERTI ITU ..... DAN MASIH BANYAK LAGI KEJANGGALAN DAN KESESATAN LOGIKA JAKSA DAN HAKIM DALAM KASUS NADIM....... TIDAK ADA JAMAN DIGITAL SEKARANG YANG SUPER RUMIT DAN SUPER SUSAH BOS ........SEMUA BISA DILACAK DENGAN MUDAH ......YANG SUSAH DAN RUMIT ITU MEMPERBAIKI MENTAL APARAT HUKUM DI KONOHA."
turrahman_121,6/7/2026, 17.42.44,1,"lucunya banyak yang fomo dan secara jelas membela koruptor"
yunnsawt,2/7/2026, 19.34.50,2,"sakitttt bgt sih itu yg bela. mana artis dan influencer yg di bilang ""pinter"" tpi ikut belain pelaku?!"
vickyseptianb,3/7/2026, 08.38.50,0,"Genius 😳"
bagassatrio_nugroho,3/7/2026, 21.37.13,4,"Kita pake analogi terbalik yaa. Jadi mending pake microsoft aja? Windows bayar lagi ms office bayar lagi bakalnambah cost 4jt / pc agar negara makin boncos dan mcrosoft sangat untung?"
tyastyos89,2/7/2026, 19.23.13,16,"Ini penjelasan yg bikin kita orang awan paham 🔥🔥🔥 kenapa dia di vonis selama itu 👍👍👍 artis2 yg pada bela lihat vidio ini gak sii . gregetan"
adrinsabatin,2/7/2026, 22.38.02,0,"Ya Nadiem kan nggak bodoh, pastilah dicuci dulu 🤣🤣"
otw_tahes,2/7/2026, 18.06.53,1,"Buka congeknya dengerin tuh yg go block² bela²in dia dikomporin dan dihasut² org berkepentingan"
radovalexx,5/7/2026, 21.58.37,1,"Menguntungkan google? lalu Pake OS apa klo ga Microsoft, jadi nguntungin Microsoft dong?? pake Linux aja sekalian 🤣🤣"
radovalexx,5/7/2026, 21.52.53,1,"ketika Bisnismen dijadikan Mentri , semua pasti di jadikan Agar cuan,, Gausah Lugu lah kalian warga Konoha Tidak cuma Nadiem yg begini banyakk di lembaga2 Sono juga gini bedanya knp ga ketahuan? karena Melibatkan partai , 😁"
bayu.indar,5/7/2026, 18.04.36,1,"Ayo dibikin kontennya mas @syafrianhidayat"
chintya_ardianti,2/7/2026, 16.43.07,1,"Soal kasus ini aku emg gk ngerti mana yg bener. Tapi 1 hal yang sangat mengganjal aku dari kebijakan pak menteri ini yaitu soal kebijakan lama untuk tidak adanya sistem tinggal kelas di sekolah negri. Ini adalah salah satu kurikulum dengan dampak paling fatal sih aku bilang.. Sedih 😢"
haetomy,2/7/2026, 23.03.10,2,"PERCUMA MAS... GAK BAKAL NYAMPE OTAK MEREKA 😄"
anjas_chambank,3/7/2026, 02.49.17,3,"Dari awal emang saya percaya bahwa Nadiem Korupsi kok! Gak perlu mesti tau detailnya, yang perlu kita tau bahwa pengadaan 1 barang aja omong kosong kalo gak ada Mark Up atau Cash Back! ☺️"
ochin_mommytwins,2/7/2026, 16.27.38,3,"Korupsi itu jika ada kerugian negara, dan korupsi itu bkn hanya terima uang secara pribadi tp adanya pelanggaran kewenangan melalui kolusi dgn perusahaan tertentu dgn tujuan menguntungkan diri pribadi dalam hal ini perusahaan si Mantan Menteri. Kecuali Nadiem gak jadi menteri gak ada masalah, tp disini dia menggunakan uang negara"
ivoaryanto,5/7/2026, 14.13.54,1,"Ya belain dong. Ini yg ngomongng siala? HAKIMM"
alvinnmulia,2/7/2026, 22.16.10,1,"Percuma, nadiem mau salah atau benar. Kepercayaan WNI terhadap hukum Indonesia udah 0! Banyak kasus2 besar dengan hukuman ringan dan sebaliknya."
fahadalhasann,3/7/2026, 09.52.02,1,"@hanhancuk paham belom😂?"
andie_snitch,5/7/2026, 07.12.34,0,"kesalahan terbesarnya sih karna mau jadi mentri sebenenrya 😂"
boybryan06,2/7/2026, 15.28.41,24,"trus negara ruginya gmn? kan anggaran jd laptop sesuai harga… google sgt kpake ko d jaman seperti skrg ini"
hndnt95,5/7/2026, 07.57.22,1,"Super susah. Wakil presiden dipilih papanya, Ijazah palsu, MBG yg dikorupsi. Korupsi tipe mudah yg gak kebukti2😂. Jangan lupa guys, bencana sumatera karna exploitasi oleh perusahaan sang presiden. Negri yg peraturannya overlaped gini. Segala administrasi dibikin sulit supaya ada pihak yg mempermudah. Gak ada gunanya jg belain Nadiem. Tapi ingat 8,000 orang pintar, Doctor, Engineer, Professor mereka udah pindah keluar semua. Sisanya di Indo ya konten creator sama Komisaris BUMN🙏🔥"
shain.jade,5/7/2026, 07.58.01,1,"Anehnya kasus yang ribet gini bisa di temuin terus di vonis. Giliran yg terang terangan langsung buta"
mrtiee998,3/7/2026, 12.53.48,1,"Masalah tuduhan korupsi ini kan berhubungan dengan google, kok pihak google dilarang kasih pendapat? Kasus ini secara ngk lagsung menyatakan pihak Google yang sudah mendunia.. Terlibat korupsi dong?"
unggul_setiadi25,5/7/2026, 03.24.40,0,""
adrasa.id,4/7/2026, 05.48.53,1,"Masalahnya, cromebook itu spesifikasinya rendah, klo laptop speknya rendah maka kemampuannya terbatas, dan jangka waktu pakainya juga jadi lebih pendek. Klo misalnya proyek cromebook tidak dikorupsi, barangnya tetap jelek. Kenapa gak langsung kasih laptop spek bagus, yg bisa dipakai bertahun-tahun, OS pelajar itu versi hemat ada."
raja.regar_06,5/7/2026, 02.13.36,1,"Jujur saya sangat prihatin atas beberapa orang yang ikut arus dan fomo atas kasus Nadiem Makarim tanpa mengetahui akar permasalahannya, dan yaa itu semua sebab minim nya literasi sehingga beberapa masyarakat menelan mentah berita tersebut, ayolah kita masyarakat Indonesia jangan mau menerima mentah semua berita, ayo kita lebih bijak lagi dalam menanggapi sebuah narasi berita"
risska_n,3/7/2026, 13.27.40,0,"@anggunslsblla ini ngun,"
timpakul404,3/7/2026, 06.25.23,1,"Hakim kok lari😂"
hendinchang,11/7/2026, 13.24.54,0,"Tuhan tidak tidur, skrg jaksa yg menjebloskan nadiem ke penjara kena karmanya."
vivian_tabarakallah,11/7/2026, 12.33.25,0,"Bagaimana pernyataan dia ketika pelajaran agama di hapus di sekolah?? 😥"
martua.tanggang,11/7/2026, 11.12.38,0,"wkwkw kok statement plenger bang,abang ga nonton semua sidangnya kah?terus liat apa kasus jaksanya sekarang"
aderahma.fitria,11/7/2026, 10.23.42,0,"Mereka tidak bisa pake akun2 media buatan mereka lagi seperti jaksap*dia misalnya yg paling terkenal😂. Kenapa? Karena udah ketahuan adalah akun2 yg sengaja dibuat untuk membangun narasi kriminal mangsanya.   Mereka hanya punya satu kesempatan lagi, dan harus all-out, kali ini mereka harus melibatkan orang2 yg mau melakukan apa saja dengan membangun narasi yg ditujukan kepada orang2 yg malas nonton persidangan Nadiem Makarim 😁"
gamap.ro,11/7/2026, 10.03.55,0,"halah bacod"
rossmila_,11/7/2026, 09.40.52,0,"Baru paham disini 😢"
_ariestyabelle,11/7/2026, 09.36.59,0,"Pada kenyataannya,, jampidsus yang memberantas koruptor, tapi dia sendiri yang apa guys ..???"
percymichaelpattiwael,11/7/2026, 09.08.07,0,"hebat inilah yang namanya hukum tabur tuai...barang siapa yang menabur angin akan menuai badai....artinya sama persis ketikan nadiem dan kawan kawan ngejebak opang masuk gojek...setelah masuk gojek dengan iming iming...lalu driver gajek di paksa mengikuti keinginan gojek kerja paksa...metode ini sudah terjadi jaman penjajahan kerja rodi...atau kerja paksa...mau ngak mau driver harus ikut maunya nadiem cs...nadiem ulangi modus ini dengan mengunci kebijakan yang dia buat karena mengangap punya kuasa menjadi menteri...proyeknya harus gogle yang kerjakan...mengapa karena nadiem udah lirik jabatan kementerian pendidikan sebagai CUAN BARU....walaupun nadiem tidak punya latar belakang dunia pendidikan...yang penting dapat CUAN....SEPANDAI PANDAINYA TUPAI MELOMPAT PASTI JATUH JUGA....NADIEM SELALU MENGERTAK MANA BUKTINYA...KARENA NADIEM SUDAH RANCANGAN KEJAHATAN INI SEBELUM JADI MENTERI...DIA SUDAH OBSERVASI LEBIH DULU ...SONDING MANA KEMENTERIAN YANG BISA DIMAINKAN...DAN SUDAH ATUR BAGAIMANA CARANYA MENERIMA ALIRAN DANA TAMPAH TERDETEKSI HUKUM....BANGKAI WALAUPUN DI TUTUP PASTI KECIUM JUGA.....BAGAIMANA JAKSA DAN HAKIM BISA MENGENDUSNYA....JAWABANNYA....ADA PENGHINAT DI GRUP NADIEM....INILAH SIKLUS KESERAHKAAN....OKE PAHAM"
gitasugiarta,11/7/2026, 07.37.31,0,"HAKIM NYA 👍👍👍👍👍"
gitasugiarta,11/7/2026, 07.35.53,0,"OOOO........ BEGITUU😊😊"
idhamghoirishah,11/7/2026, 05.35.00,0,"Yg belain kan yg ngikutin medsos aja wkwkwkwkw. 😂"
ramadhankarsono,11/7/2026, 05.20.30,0,"Kasus nafuem.masyarakat terbelah 2 ..yg cerdas dan yg males mikir kemudian di tolol tololkan"
winginka,10/7/2026, 22.35.09,0,"ooooh"
reza.akbaaar,10/7/2026, 22.14.50,0,"Chromebook JUSTRU menghemat pengeluaran negara daripada pakai windows yg harus bayar lisensi OS dan Microsoft office tiap tahun Chrome device management membuat guru dan siswa akuntabel dalam pakai laptop, tidak bisa untuk aneh2 Seperti judol, game, bokep.. semua bisa dibatasi akses dan dimonitor penggunaan nya Yang jelas ini JUSTRU  mengurangi celah korupsi lama yang kalau mau meeting , event sertifikasi atau asesmen dulunya mungkin ada anggaran untuk sewa hotel yang mungkin digelembungkan, acara sehari anggaran 5 hari, anggaran maintenance sistem lama oleh vendor lama yang ga dipake lagi dll, semua potensi jadi Bancakan yg mungkin ditutup oleh nadiem... Malah Nadiem yang dituduh korupsi, dasar yg menuntut nya NIRLOGIKA dan NIR-hati nurani"
artwork_diaz,10/7/2026, 20.55.43,0,"Oow gitu ternyata alur critanya😢"
daaaaaaay___,10/7/2026, 17.43.14,0,"Kerenn👍🔥🔥🔥🔥🔥"
daeng_maru_,10/7/2026, 17.15.43,0,"Negara tidak dirugikan, cuma NM diuntungkan secara pribadi.  Ada yg tidak senang...."
eva_hermawan,10/7/2026, 16.39.45,0,"tapi harta hakim naik 1000% 😂"
chelsea_lychee,10/7/2026, 13.48.21,0,"PRABOWO DILAWAN...!!🤣🤣🤣 Dri dlu gedekkk bgt ma ni org obok2 pndidikn hasil.a yahhh tw sndri dahhhh.....!!!!"
aabiiroy,10/7/2026, 12.30.50,0,"Menarik ini..🤔"
lisa.chen88,10/7/2026, 09.53.02,0,"Ooooo @fifi_chen83 @wiliamtokamto"
wahiddanihamdani,10/7/2026, 09.41.19,0,"Miskinkan...."
banyubiruluv,10/7/2026, 08.48.04,0,"Korupsi versi org pinter ini😂 tp banyak yg belain karena g ngerti 😁"
bang_aleeekk,10/7/2026, 08.44.34,0,"😂"
umarbakrie01,10/7/2026, 08.07.17,0,"Udah jelas salah ..ee malah seperti yg merasa tersakiti makanya yg membela psti orang² yg tdk tau apa² ..miris"
ftrwyd,10/7/2026, 04.49.38,0,"Lucu kalau Chromebook dibilang pemaksaan ekosistem, padahal puluhan tahun tender pemerintah dikunci ke Windows gak pernah dipermasalahkan. Faktanya, buat kebutuhan sekolah dasar, Chromebook itu paling efisien dan anti-lemot dibanding Windows dengan harga yang sama. Jaksa kok standarnya tebang pilih?😂"
ftrwyd,10/7/2026, 04.44.40,0,"Lha kl Spec nya di bikin windows berarti gpp? Kan ya aneh. Padahal dunia pendidikan juga di paksa pakai ekosistem windows karena chromebook ataupun macbook Ndak bisa pakai OS Windows. 🤣"
tasdwip,10/7/2026, 02.10.56,0,"Pinter keblenger"
brighitachrstn,10/7/2026, 01.56.46,0,"kenapa yang diproses cuman nadim? pt akab dan google juga harus diproses sedemikian rupa kalau memang patut dicurigakan. juga kalau dipengadilan masih pake kata “asumsi” itu berarti bukti nya ga kuat dong, bukti masih diragukan tapi udh main ketok palu aja"
fahmira2424,9/7/2026, 22.32.39,0,"@salsaer"
eldapaisey,9/7/2026, 21.38.10,0,"White collar crime"
taufiqdwitresnanto,9/7/2026, 21.34.06,0,"Wah orang Google terlibat ini? Harusnya turut dituntut tuh Google-nya"
rahaayuayuuu,9/7/2026, 18.44.33,0,"nah ada juga yg jelasin tq ka 🙏😂"
fnhra.404,9/7/2026, 17.01.58,0,"buzzer kontol"
tommasonyea,9/7/2026, 13.03.44,0,"bro ngelock itu GPP asal gak merugikan dan pakai google chrome book bisa di-tracking  dan lebih murah, kalau pakai Lenovo/Asus lebih mahal dan  ga bisa dideteksi 🤣."
nadiem_makarim10,9/7/2026, 13.00.53,0,"aku baik ko guys ga pernah korupsi, donasi buat aku dong biar bisa bebas dari penjara"
arkho91,9/7/2026, 12.29.04,0,"Google sampe saat ini belum pernah diperiksa jaksa. Hayoo loo.. klo hukum saling menguntungkan berarti disini google yg diuntungkan dan harus di hukum juga."
alifulmuhadis807,9/7/2026, 12.16.19,0,"Ouhhh main Cuci uang nya pinter berarti naro investasi bukan fisik duit😂"
support_idola22,9/7/2026, 09.45.54,0,"@nadiemmakarim  gak usah drama nangis seolah terdzolimi 😂"
m.agus_purnama,9/7/2026, 08.19.24,0,"Emg klo slain google siapa. Klo pola ny bgini. Mau siapa aj ttep bakal slh."
isan_fedrick,9/7/2026, 07.03.09,0,"Hahahhaah lucu-lucu saat lihat manusia sok bijak, sok benar, sok suci seperti ini 🤣 Gini lah negri konoha 😁"
just_neena,9/7/2026, 06.12.24,0,"Kalo dulu Nadiem milih Microsoft, apa dia jdnya ga dituntut juga?????"
hkmhmns,9/7/2026, 05.07.25,0,"😮"
jorita12,9/7/2026, 03.33.33,0,"Awalnya aku Ketipu si “play victim”. Begitu check details soal GoTo yg burned cash for growth hampur2in modal Telkom dll. Maksa IPO premature. Seluruh investor loss, founder profit 4.8T  😂😂😂"
albirrgarthen,9/7/2026, 03.29.55,0,"Anak2 Abah dan boti2 so bawa2 agama pula bela Nadim Makarim ,,makanya jadi manusia itu harus banyak berfikir yg sehat bermangfaat untuk diri sendiri terlebih dahulu baru untuk keluarga baru lah ke orang lain di luaran sana bravo penegak hukum"
p3khouw,9/7/2026, 03.19.02,0,"Dibayar berapa bro ? Terlalu dipaksakan buktinya ...."
wafiiafila,9/7/2026, 00.19.28,0,"@irwandiferry"
luckysu2011,8/7/2026, 23.13.19,0,"Heran kalau enggak salah kok dipenjara 😂😂😂 mustahil  pasti ada sesuatu dibalik udang 😁"
anitaherman1234,8/7/2026, 23.00.28,0,"Udah gak tau lagi mw percaya siapa di dunia ini,,, ke diri sendiri aj udh bingung😮😮😢,,, di buat jadi sepolos itu, tp ternyata penuh konspirasi matang,😢😢😢"
nam.kannn,8/7/2026, 22.03.31,0,"@gojekindonesia"
mohnazz,8/7/2026, 21.47.42,0,"😮"
papapmike,8/7/2026, 19.23.33,0,"Sdh dijelasin segamblang dan se detail ini… masih ada aja para IQ mangki ngeyel"
susenobudidarsono,8/7/2026, 14.53.29,0,"Itu penjelasan  ttg skenario unt menjebloskan Nadiem"
btch.fella,8/7/2026, 12.03.03,0,"Gagalnya pendidikan kemaren gegara dia wkwkwk"
dewi.grip,8/7/2026, 08.20.28,0,"Sblm membella Nadeim ?? Cari tau lah ke Orang 2 ke pendidikan Nya .. Baru kom ... jadi kita ngga saling menzolim kan ...."
bayu.tioo,8/7/2026, 08.18.34,0,"Alah mau korup atau tidak,jujur sebagai rakyat jelata si nadiem ini suka buat kurikulum ga jelas alhasil pendidikan indo carut marut,sistem pendidkan jd kacau, setuju atau tidak ini nyata fakta"
dhni857,8/7/2026, 07.53.09,0,"BPKP yg audit 2020-2022 bilang wajar, audit BPKP 2025 ga wajar kok bisa begitu apa ga ada pertanggung jawabanya BPKP"
balilene,8/7/2026, 07.43.17,0,"🐾"
dyonovian_,8/7/2026, 07.00.41,0,""
duinpart,8/7/2026, 06.45.53,0,"NADIM BIKIN RIBET ANJIR 😢"
diahwlndriii,8/7/2026, 05.39.37,0,"Gilaaaaa gilaaaaa gila sih ini 👏. Korupsinya orang pinterr keren"
bangikhlas,8/7/2026, 05.25.32,0,"Follow the money , udah bener konsep pembuktiannya"
warsito8462,8/7/2026, 05.22.36,0,"Sudah jd menteri sudah merencanakan dan pendidikan rusak..menteri tidak pernah turun lapangan .. Pantas hukumanya"
iva41278,8/7/2026, 04.42.01,0,"Gak di mana2 orang keturunan INDIA itu PENIPU apa lagi jadi PENJABAT PEMERINTAH,jadi PENGUSAHA pun juga banyak TRIK NIPU nya.."
luwisnayes,8/7/2026, 04.30.16,0,"Oh jadi gitu ya bang lengkap aliran uang dan sebab akibat nya. Makasih bang 🙏"
yuda.secret,8/7/2026, 01.51.56,0,"Lebih jujur Cina daripada Arab"
advokat_aswin_,8/7/2026, 00.39.38,0,"Konsep kejahatan kerah putih yg menggiring masyarakat jadi seolah2 nadiem yg dizolimi memanfaatkan isu masyarakat"
d.hsetya,7/7/2026, 22.57.32,0,"Ini mungkin jaksa nyuruh beli laptop OSnya suruh install sendiri, harga OS windows kisaran 2,5jtan belum komponen laptop. Masak suruh pake windows bajakan 😂"
ardiyan.____,7/7/2026, 22.33.57,0,"Tapi aneh nya banyak yg belain😂"
esther_halim_pratiknyo,7/7/2026, 21.02.25,0,"Seindonesia di prank nadiem ternyata di korupsi ke masuk uangnya ke saham nadiem hahahahaha.. ingat jgn ke tipu .. diam diam korupsi woiii parah nihh menteri sok nga salah padahal uangnya dialihkan ke jalur lain"
irwankunkun,7/7/2026, 20.48.47,0,"@jeromepolin"
mim_aminah,7/7/2026, 20.26.47,0,"Pantasan aplikasi bx mcm  dan hrs d pk di skolh"" mendikbud paling kacau , siswa mkn tdk px adap krn merdeka"" bljrx yg endingx tdk jls"
cindi_nurrohmah,7/7/2026, 16.53.22,0,"Orang pinter banyak blunder"
mhm_dyas_,7/7/2026, 15.29.45,0,"Fix buzzer nih orang"
blackshaaaaaark___,7/7/2026, 14.06.10,0,"Nadiem suruh ikut termehek-mehek aja, nangis terus, pinter acting nya 🤣"
ronnaoranskarp,7/7/2026, 12.31.40,0,"Ini pentingnya jadi pendengar yang Netral👍 Smg Tuhan memberkati Negara kita, amin"
bernarddenata,7/7/2026, 12.22.33,0,"Asli goblok bgt org ini"
richardosebastiann,7/7/2026, 11.45.59,0,"Ga ngerti, kalau investasi ke goto (yg sblumnya AKAB) , jadi bagus dong? Mungkin untung nya buat Pak NM abis di investasi dia IPO, untung nya dari nilai awal IPO gitu ya? Tapi gw googling, google cuma invest 7.73% dari total 800M?"
